# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:27:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpzcrddm6z/x1sv047p.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192706_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.21319
# Elements of inverse mass matrix:
# 2.43747, 0.00380815, -0.0122562, -0.0310966
# 0.00380815, 0.00919788, -0.00786672, 0.000183974
# -0.0122562, -0.00786672, 0.0548524, 0.00144322
# -0.0310966, 0.000183974, 0.00144322, 0.0608025
-315.19409,0.99351445,0.2131896,4,15,0,319.04402,0.5967144,1.6174114,0.28099372,-3.1130641,0.044464501,-1.9447705,-2.9917103,-1.0809311,-0.6492243,-0.99771701,-1.7787201,-0.91438186,-1.3082549,-1.0660808,-0.92194562,-0.97606108,-0.6678394,-1.1604008,-0.85553805,-0.85213023,-0.88264214,-0.72709835,-0.47356576,-1.3032828,-1.9747574,-1.3942356,-1.2852505,-0.6537558,-1.1464411,-0.77101473,-0.57964772,-1.3502757,-1.3100078,-0.75224234,-0.58763753,-0.64739988,-1.1711563,-0.6786672,-1.8800753,-1.2168418,-1.5428843,-1.4680768,-0.56174466,-1.2117776,-0.44823996,-1.0451304,-1.4126999,-1.3492621,-1.1257939,-1.1144221,-0.8578512,-0.48220694,-1.074429,-0.52365056,-0.47958789,-0.93694005,-1.4449796,-0.54615485,-0.72541232,-1.0588912,-1.6287581,-0.42774242,-2.4319019,-2.8851149,-2.6338629,-1.5911716,-0.9800267,-1.3307967,-2.2788217,-2.1606288,-0.65207646,-1.5316944,-0.85398868,-0.62722779,-1.0650215,-0.39420147,-1.4556726,-1.2645874,-2.7917708,-0.46280315,-0.45829389,-0.90080046,-0.62664863,-0.44197345,-1.1307264,-6.7675167,-0.46165372,-0.48825345,-0.42676146,-0.39478984,-0.32405106,-0.48100685,-0.44842193,-0.33165166,-0.69843924,-0.41687381,-1.1012587,-0.94936908,-1.750076,-1.8485704,-0.34443275,-0.74830775,-1.4774503,-0.4735306,-0.45220649,-0.65424745,-1.2154895,-0.62024761,-1.1903013,-1.0867321,-0.60782803,-0.87352622,-1.4507459,-1.3901447,-0.56191362,-1.0737849,-1.6003533,-1.6421305,-2.4791433,-1.1449629,-1.7578477,-0.60779884,-1.1699416,-1.7394149,-0.6850608,-0.46613616,-1.6910976,-2.3356746,-1.0969316,-0.60351985,-0.43149482,-1.1327162,-0.57545877,-1.3795905,-1.0036954,-0.7682375,-0.59066293,-1.1833475,-1.5319461,-0.64156439,-0.99128083,-2.2085841,-1.204856,-1.5370346,-0.34417357,-1.5455146,-0.74294075,-1.0876659,-1.5655801,-1.0613836,-1.1862317,-1.946364,-0.84790748,-0.41023009,-0.44082468,-0.75894012,-0.79947296,-1.2439237,-1.9801252,-0.376666,-1.0551526,-0.58347927,-0.61263449,-1.611745,-1.1655621,-0.93213066,-0.72548035,-1.2895173,-1.2861713,-1.0666565,-1.5484139,-0.83387163,-0.92256552,-0.67209494,-1.4688802,-0.61462707,-1.2523825,-1.7752321,-1.3216861,-0.48847138,-1.223958,-0.60463628,-0.89729555,-1.5810149,-1.0479801,-1.068629,-0.85722379,-1.350428,-1.1649046,-2.1883602,-1.2311982,-0.57245052,-2.8114286,-0.52301403,-0.91899163,-1.3822276,-0.99345347,-0.89911521,-1.2258592,-1.8185734,-0.53973743,-0.3532558,-0.64411191,-0.64475395,-1.3953507,-0.73644117,-0.60181072,-0.33785007,-1.022634,-0.89182037,-0.82972369,-1.1279756,-0.81736389,-1.0806104,-0.54153323,-0.81343721,-0.88320333,-0.58007684,-0.96554826,-1.2569679,-0.39289451,-0.7219458,-1.0424177,-0.45641519,-0.46345079,-0.71978559,-0.5270007,-0.77211374,-0.579528,-0.65022502,-0.69245737,-0.95080314,-0.98466625,-0.75079247,-1.5551654,-0.92571113,-0.902486,-0.86984561,-0.5952332,-0.39644359,-0.46797723,-2.3223608,-1.2237282,-2.1526108,-2.6567125,-0.64764173,-0.35177518,-0.9206428,-1.9141695,-0.58068978,-0.37748759,-1.4600922,-0.72378058,-0.57037988,-0.61702438,-1.2432231,-1.039269,-0.35739284,-0.33896244,-0.46577206,-0.43016125,-0.60207868,-0.38186875,-0.58236758,-0.76551844,-0.88535771,-0.84591206,-0.81013448,-0.38378424,-0.41917548,-0.59896649,-0.65714996,-0.55972697,-0.62350259,-0.79279684,-0.56552241,-0.48621129,-0.53566454,-0.47663924,-0.33533923,-1.5849904,-1.3727455,-0.50698084,-0.56284037,-1.3729466,-1.1745611,-0.66720232,-0.88995929,-2.0258829,-1.0203517,-0.61362706,-0.62289906,-0.34618774,-0.91516994,-0.48324892,-0.37426908,-0.72069185,-0.37638696,-0.46655545,-0.84136406,-0.51151559
-315.7725,0.99725795,0.2131896,3,7,0,315.91399,0.57574665,1.6287089,0.27972934,-3.1439354,0.043112799,-1.9316268,-2.9640926,-1.0797472,-0.65386112,-0.99702664,-1.7694705,-0.91492225,-1.3019134,-1.0643833,-0.92237397,-0.97698249,-0.67166208,-1.1565368,-0.85810079,-0.8529955,-0.8848343,-0.73152226,-0.48269648,-1.2979996,-1.9653912,-1.3867798,-1.2803065,-0.65833888,-1.1452392,-0.77437322,-0.58525319,-1.3443879,-1.3067225,-0.75627852,-0.59301722,-0.65206727,-1.1669806,-0.68461722,-1.8697122,-1.2140726,-1.5381319,-1.4618418,-0.56867144,-1.2070001,-0.45681454,-1.0444465,-1.4046214,-1.3422508,-1.1227246,-1.111271,-0.85870042,-0.49119429,-1.0719303,-0.53099716,-0.48702235,-0.93799031,-1.4362647,-0.55212358,-0.72931795,-1.058139,-1.6172938,-0.43696449,-2.4121652,-2.8583415,-2.6110304,-1.582693,-0.97886215,-1.3279542,-2.2545736,-2.1388151,-0.65707356,-1.5241541,-0.85611563,-0.63362476,-1.0636485,-0.4047555,-1.4494221,-1.2610509,-2.7649387,-0.4712084,-0.46631615,-0.90224107,-0.63146069,-0.45043899,-1.1450674,-6.5281908,-0.47940845,-0.50746565,-0.43562999,-0.40522389,-0.3386857,-0.49729754,-0.4577231,-0.34854974,-0.70370609,-0.42718509,-1.0983337,-0.94869108,-1.7394294,-1.8369644,-0.35880053,-0.75285693,-1.4728886,-0.4819506,-0.46111185,-0.66052067,-1.2123826,-0.62457714,-1.1876024,-1.0855107,-0.61283474,-0.87504864,-1.4466178,-1.3824117,-0.5689799,-1.0729804,-1.588957,-1.6333888,-2.4586038,-1.144204,-1.7508326,-0.61383698,-1.1656536,-1.7288227,-0.68896692,-0.47496734,-1.6840753,-2.3174472,-1.0966564,-0.60923127,-0.44081074,-1.1288325,-0.58084406,-1.373708,-1.0035068,-0.77019273,-0.59697413,-1.1788254,-1.5242379,-0.64565819,-0.99150726,-2.1907226,-1.2018023,-1.5322079,-0.35846497,-1.5374679,-0.74680018,-1.0848346,-1.5583458,-1.0620437,-1.1820024,-1.9297951,-0.85028094,-0.42043356,-0.45147391,-0.76132606,-0.8025493,-1.2401315,-1.9714791,-0.39289797,-1.053955,-0.58971242,-0.61843705,-1.6059477,-1.1630651,-0.93437272,-0.72943442,-1.2854893,-1.2839847,-1.0669488,-1.5408608,-0.83625546,-0.92231816,-0.67593736,-1.4642149,-0.62043181,-1.2469267,-1.7610205,-1.3188216,-0.49765615,-1.2204911,-0.60978312,-0.89989343,-1.5750585,-1.0473631,-1.0689532,-0.85941331,-1.3455606,-1.162406,-2.1716633,-1.2282347,-0.57868004,-2.7856617,-0.52961366,-0.92030171,-1.3763235,-0.99350336,-0.89923322,-1.2211133,-1.804009,-0.54695441,-0.3664012,-0.64957108,-0.65006076,-1.3896971,-0.74009333,-0.60885276,-0.35447425,-1.0208057,-0.89450141,-0.83113907,-1.1262292,-0.81886722,-1.0795031,-0.54849087,-0.81714486,-0.88359125,-0.58552765,-0.96596334,-1.2514999,-0.40408325,-0.72590415,-1.0417525,-0.46522149,-0.47282344,-0.72484724,-0.5333863,-0.77530625,-0.58569675,-0.65529464,-0.69684285,-0.95162014,-0.9849506,-0.75418278,-1.5476587,-0.92691179,-0.90460769,-0.87046047,-0.60028213,-0.40678604,-0.47713808,-2.3048765,-1.2206015,-2.1411218,-2.6340202,-0.65377347,-0.36538729,-0.92165324,-1.9046564,-0.58723913,-0.38952961,-1.4537253,-0.72694809,-0.57748742,-0.62126476,-1.2379442,-1.0370344,-0.3713746,-0.35602778,-0.47475608,-0.43994807,-0.60917576,-0.39797941,-0.58914301,-0.769086,-0.8867159,-0.84829159,-0.81418016,-0.39446603,-0.42988983,-0.60400126,-0.66355024,-0.56671463,-0.627731,-0.79543239,-0.57305557,-0.49504823,-0.54260782,-0.48458353,-0.35183196,-1.5765977,-1.3837024,-0.51510444,-0.57023528,-1.3672129,-1.1705457,-0.67072836,-0.89097025,-2.0170581,-1.0204384,-0.6184921,-0.64080286,-0.36078052,-0.91485056,-0.49064639,-0.38654672,-0.72600479,-0.3883223,-0.47622994,-0.84326998,-0.52023952
-314.09231,0.99943516,0.2131896,3,15,0,315.8858,0.54749448,1.5945384,0.28117936,-3.0166351,0.048965707,-1.9774088,-3.0545999,-1.0885747,-0.64325431,-1.0027654,-1.8059965,-0.91692055,-1.3234605,-1.0731715,-0.92471345,-0.98080179,-0.66215234,-1.1695196,-0.85627635,-0.85301791,-0.88466432,-0.72483784,-0.4615232,-1.3182779,-2.0046546,-1.4110451,-1.2988581,-0.64834986,-1.1559646,-0.77076994,-0.57140804,-1.3674835,-1.3241097,-0.75033859,-0.57969995,-0.64136501,-1.1809064,-0.67667187,-1.9139461,-1.230148,-1.5662336,-1.4872855,-0.5539341,-1.223164,-0.43299901,-1.0517293,-1.4296599,-1.3644887,-1.1351364,-1.1221814,-0.85854941,-0.47082079,-1.0803692,-0.51276663,-0.4655844,-0.94145715,-1.4618149,-0.5350087,-0.72222297,-1.0658249,-1.653657,-0.4108536,-2.4714646,-2.9399536,-2.6845838,-1.6160339,-0.98415772,-1.3453547,-2.3190545,-2.1974692,-0.64630385,-1.5552213,-0.85529565,-0.62156663,-1.0716777,-0.37560891,-1.4754253,-1.276797,-2.6512248,-0.44847695,-0.44293973,-0.903466,-0.61988864,-0.4255594,-1.0487969,-6.5313895,-0.41614441,-0.43797056,-0.40896489,-0.37450306,-0.29737947,-0.4367806,-0.43484694,-0.29692183,-0.69498148,-0.40125757,-1.1095227,-0.95107969,-1.7771407,-1.8783128,-0.3140122,-0.7464139,-1.4958951,-0.460368,-0.43798024,-0.65122678,-1.2245645,-0.61104447,-1.2011479,-1.0947029,-0.59991197,-0.87305492,-1.4721097,-1.409156,-0.55503094,-1.083819,-1.6222088,-1.670987,-2.5298238,-1.1535606,-1.7863451,-0.60090368,-1.1791031,-1.7603929,-0.68125591,-0.45366317,-1.7136869,-2.3812248,-1.1041072,-0.59614878,-0.41561317,-1.1396341,-0.56598015,-1.3953709,-1.0100099,-0.76600739,-0.58413527,-1.1928246,-1.5508715,-0.63369371,-0.99820315,-2.2520248,-1.2172957,-1.5624589,-0.32243454,-1.5679365,-0.74116003,-1.0967035,-1.587801,-1.0708291,-1.1972119,-1.9860645,-0.84963161,-0.39255903,-0.42956424,-0.75567153,-0.79986333,-1.2548602,-2.0183516,-0.34050743,-1.0620091,-0.57589499,-0.60654302,-1.634794,-1.1768697,-0.93652728,-0.72270834,-1.3035313,-1.300575,-1.0750905,-1.5702225,-0.83449019,-0.92480387,-0.66699983,-1.4882209,-0.60872676,-1.264106,-1.8024158,-1.337615,-0.47841723,-1.2360237,-0.59686418,-0.90008364,-1.6035102,-1.0565408,-1.0759239,-0.85925021,-1.3633357,-1.1760772,-2.2270745,-1.2426181,-0.56374622,-2.8656136,-0.51169691,-0.92270394,-1.3982483,-0.99984737,-0.90059701,-1.2364747,-1.8503927,-0.5305239,-0.32948951,-0.63868107,-0.63885783,-1.4116917,-0.73336075,-0.59613552,-0.30593382,-1.0276862,-0.894676,-0.82914725,-1.1370205,-0.81601166,-1.0882079,-0.53167732,-0.81372339,-0.88455551,-0.57076149,-0.96950616,-1.2696421,-0.37638233,-0.71868883,-1.0471817,-0.44247752,-0.45129033,-0.71738036,-0.51582839,-0.77041202,-0.57041492,-0.64517945,-0.6888759,-0.95680335,-0.99023389,-0.74785577,-1.578463,-0.92952484,-0.90371027,-0.87000261,-0.5866653,-0.37610893,-0.45673707,-2.3580443,-1.2380942,-2.1848232,-2.7115956,-0.6428527,-0.32673701,-0.92337398,-1.9474153,-0.57353109,-0.36008526,-1.4826344,-0.72112325,-0.56148925,-0.60721441,-1.2553617,-1.0428342,-0.3320977,-0.30149327,-0.45229961,-0.41484758,-0.5966026,-0.34747794,-0.57663245,-0.76562433,-0.88727648,-0.84653832,-0.81135777,-0.36401872,-0.40511653,-0.59128345,-0.65358407,-0.55181959,-0.61499187,-0.79157689,-0.55755327,-0.47452234,-0.5251564,-0.46261632,-0.30218387,-1.6053376,-1.2780819,-0.49712302,-0.55418575,-1.3888459,-1.1852777,-0.66031198,-0.88892318,-2.0599359,-1.0281133,-0.60686519,-0.56175911,-0.31450049,-0.91646124,-0.46931108,-0.34965171,-0.71991603,-0.3586206,-0.45568893,-0.84065091,-0.50281517
