subject,condition,n_planets,centrality_rt_corr,mean_centrality
70.0,4-planets,4,0.08791314340842563,0.16669755278797907
70.0,5-planets,5,0.025734666814752533,0.10001719269138952
71.0,2-planets,2,,1.0
71.0,3-planets,3,0.23691961274599063,0.3333333333333333
71.0,4-planets,4,-0.11972665100759511,0.1667235417235417
71.0,5-planets,5,-0.13293815169190337,0.10011955213571017
72.0,2-planets,2,,1.0
72.0,3-planets,3,-0.16177564086754082,0.33333730987572624
72.0,4-planets,4,0.0211263910810897,0.16670146856945897
72.0,5-planets,5,-0.052567956658769614,0.09999999999999999
73.0,2-planets,2,,1.0
73.0,3-planets,3,0.07238371985234329,0.33334463200235015
73.0,4-planets,4,-0.015253020233548553,0.16666666666666666
73.0,5-planets,5,-0.10474760582053588,0.10008519120484029
74.0,2-planets,2,,1.0
74.0,3-planets,3,0.05920508501060659,0.3333331741045677
74.0,4-planets,4,0.03403086512888335,0.16666666666666669
74.0,5-planets,5,-0.021463481047005763,0.10001525241627283
75.0,2-planets,2,,1.0
75.0,3-planets,3,0.01594112324949578,0.33333770323042133
75.0,4-planets,4,0.008731984559136626,0.16667377016532395
75.0,5-planets,5,0.05990570427587534,0.09999999999999999
76.0,2-planets,2,,1.0
76.0,3-planets,3,0.11580073771177603,0.3333333333333333
76.0,4-planets,4,-0.14856810651252833,0.1666741262248748
76.0,5-planets,5,-0.011184100657798741,0.10000866206702254
77.0,2-planets,2,,1.0
77.0,3-planets,3,0.04968270476086394,0.3333454618350377
77.0,4-planets,4,-0.00780610843942419,0.16667824227691377
78.0,2-planets,2,,1.0
78.0,3-planets,3,0.005265133645857198,0.3333437876145692
78.0,4-planets,4,0.03827645315262469,0.1666871168304319
78.0,5-planets,5,-0.04820200676364042,0.10011895474650598
79.0,2-planets,2,,1.0
79.0,3-planets,3,0.04662196551870984,0.33336925131427503
79.0,4-planets,4,0.021041129676936117,0.16668566290953118
79.0,5-planets,5,0.016366870590935605,0.10012904938114357
80.0,2-planets,2,,1.0
80.0,3-planets,3,-0.1275232122027626,0.3333459233911853
80.0,4-planets,4,0.07924709543988671,0.16666666666666666
80.0,5-planets,5,0.0001786838692176278,0.10010617785408375
81.0,2-planets,2,,1.0
81.0,3-planets,3,0.04848130118472156,0.33335463567034007
81.0,4-planets,4,-0.010722322650286137,0.16667279386568343
81.0,5-planets,5,0.0855461630295286,0.10002167322684843
82.0,2-planets,2,,1.0
82.0,3-planets,3,0.04364890903777973,0.333402513547792
82.0,4-planets,4,-0.20181451033652217,0.1666741487284236
82.0,5-planets,5,-0.10420382913360711,0.10019744669336424
83.0,2-planets,2,,1.0
83.0,3-planets,3,0.15491801786653792,0.33333333333333337
83.0,4-planets,4,-0.06618661617133632,0.1666907382139861
84.0,2-planets,2,,1.0
84.0,3-planets,3,0.07483249010212206,0.3333333333333333
84.0,4-planets,4,-0.03771287970178151,0.1667004668180548
84.0,5-planets,5,0.053329725162674056,0.10002663313506518
85.0,2-planets,2,,1.0
85.0,3-planets,3,-0.014100283130735912,0.3333333333333333
85.0,4-planets,4,-0.10890915761819538,0.16668912750407466
85.0,5-planets,5,-0.023294287388924063,0.10002060034417368
86.0,2-planets,2,,1.0
86.0,3-planets,3,-0.002109332671487645,0.33358349445685204
86.0,4-planets,4,0.035635515569177934,0.1667713074870507
86.0,5-planets,5,-0.05030255110263453,0.10001547970841648
87.0,2-planets,2,,1.0
87.0,3-planets,3,0.019970223779841152,0.33336745836745835
87.0,4-planets,4,0.08483778565110016,0.16668410383888319
87.0,5-planets,5,-0.0793234441801767,0.10001787548907971
88.0,2-planets,2,,1.0
88.0,3-planets,3,0.1046018981246458,0.33345346092650285
88.0,4-planets,4,-0.05649267532224584,0.16668856846097824
88.0,5-planets,5,-0.07132078597343577,0.09999999999999999
89.0,2-planets,2,,1.0
89.0,3-planets,3,0.05477778308198013,0.3333333333333333
89.0,4-planets,4,-0.029172331839360247,0.16668891367532215
89.0,5-planets,5,-0.08975797079687231,0.10002208499667727
90.0,2-planets,2,,1.0
90.0,3-planets,3,-0.01691965707170663,0.3333333333333333
90.0,4-planets,4,0.09099588188687618,0.16667895706258049
90.0,5-planets,5,-0.02208346346208307,0.10000878146641683
91.0,2-planets,2,,1.0
91.0,3-planets,3,,0.3333333333333333
91.0,4-planets,4,-0.0011894181734036222,0.16668692813877323
91.0,5-planets,5,-0.017464223542132905,0.10018943108600493
92.0,2-planets,2,,1.0
92.0,4-planets,4,0.06329109606958545,0.1667331196825804
92.0,5-planets,5,0.012066385693578707,0.09999999999999999
93.0,2-planets,2,,1.0
93.0,3-planets,3,-0.0970014011899327,0.33335783059192015
93.0,4-planets,4,0.06323634654310038,0.16667796533568344
93.0,5-planets,5,-0.03693199177171243,0.1
94.0,2-planets,2,,1.0
94.0,3-planets,3,-0.0701265253851432,0.3333370743642119
94.0,4-planets,4,-0.0586633365408974,0.16670057959660217
94.0,5-planets,5,0.022387058177652387,0.10000870008224418
95.0,2-planets,2,,1.0
95.0,3-planets,3,0.06624424538352591,0.33336784917499096
95.0,4-planets,4,-0.000620754540021014,0.16673584688112533
95.0,5-planets,5,-0.050214659744843744,0.1000186756191219
96.0,2-planets,2,,1.0
96.0,3-planets,3,-0.06791018855315041,0.3334032007272031
96.0,4-planets,4,0.07495875131996829,0.16670149288384295
96.0,5-planets,5,-0.0030469208163614457,0.10003173844498897
97.0,2-planets,2,,1.0
97.0,3-planets,3,0.06835426225644418,0.3333463822173044
97.0,4-planets,4,0.0388187313374884,0.16666666666666666
97.0,5-planets,5,-0.07939747896339276,0.10000000000000002
98.0,2-planets,2,,1.0
98.0,3-planets,3,0.040274069481187835,0.33334634395714097
98.0,4-planets,4,-0.03818537734144206,0.1667027836338012
98.0,5-planets,5,0.012684619657468657,0.10000000000000002
99.0,2-planets,2,,1.0
99.0,3-planets,3,-0.11097959781133332,0.3334172603069273
99.0,4-planets,4,0.04396934629090072,0.16667478202550232
99.0,5-planets,5,-0.03435072789028541,0.10006056218441312
100.0,2-planets,2,,1.0
100.0,3-planets,3,-0.09800958198192816,0.3333370743642119
100.0,4-planets,4,0.007833807577550424,0.1666783460643907
100.0,5-planets,5,0.0031595633127302924,0.10000940687492992
101.0,2-planets,2,,1.0
101.0,3-planets,3,0.19069764073295212,0.33333226793800724
101.0,4-planets,4,-0.12799333656029163,0.16667796533568344
101.0,5-planets,5,0.021040527630024168,0.10013466149136159
102.0,2-planets,2,,1.0
102.0,3-planets,3,0.028214562984037,0.33337621497998854
102.0,4-planets,4,-0.009112817726404819,0.16668535712774524
102.0,5-planets,5,-0.08660096137422135,0.1
103.0,2-planets,2,,1.0
103.0,3-planets,3,0.10239161345578815,0.3333333333333333
103.0,4-planets,4,-0.0023392684186979073,0.1667340515263009
103.0,5-planets,5,0.024668238697877747,0.10001580471476225
104.0,2-planets,2,,1.0
104.0,3-planets,3,0.09184874367327972,0.33353697763943896
104.0,4-planets,4,-0.1516622967835502,0.16666666666666663
104.0,5-planets,5,-0.013579800814384226,0.10014783299644826
105.0,2-planets,2,,1.0
105.0,3-planets,3,-0.23434472300273326,0.3333333333333333
105.0,4-planets,4,-0.07067389235117665,0.16667387305877396
105.0,5-planets,5,-0.044156528834327954,0.10010293273828132
106.0,2-planets,2,,1.0
106.0,3-planets,3,0.011871337484572473,0.3333366564315242
106.0,4-planets,4,0.029701070516559108,0.16666666666666666
106.0,5-planets,5,0.13082409242655665,0.10004439415860622
107.0,2-planets,2,,1.0
107.0,3-planets,3,-0.1444993330203862,0.3333364516239244
107.0,4-planets,4,0.060696491454674456,0.16668850336759578
107.0,5-planets,5,0.08336355106746234,0.10001572714759652
108.0,3-planets,3,0.009255636578220159,0.3333886263692978
108.0,5-planets,5,0.07520528778439534,0.1000147609678286
109.0,5-planets,5,-0.05197460454440163,0.1000133467870967
110.0,5-planets,5,-0.10311457324912582,0.10000928725021842
111.0,5-planets,5,-0.00545184719168923,0.10006917672951621
