subject,condition,n_planets,policy_MI,reward_rate,mean_rt1
0.0,2-planets,2,-9.99966510812577e-13,0.10921501706484642,0.6972525597269625
0.0,3-planets,3,0.02614334359356362,0.03333333333333333,0.5796266666666667
0.0,4-planets,4,0.010404810143598266,0.15384615384615385,0.7855618729096989
0.0,5-planets,5,0.03878555334926284,0.34782608695652173,0.8854347826086957
1.0,2-planets,2,-9.999987900154658e-13,0.0821917808219178,0.684236301369863
1.0,3-planets,3,0.018322002350912574,0.07023411371237458,0.6115785953177258
1.0,4-planets,4,0.030464223572082283,0.2702702702702703,0.8908175675675676
1.0,5-planets,5,0.07267116407629795,0.28378378378378377,0.8815033783783784
2.0,2-planets,2,-9.999554456918749e-13,0.07534246575342465,0.5729623287671233
2.0,3-planets,3,0.26348076988186064,0.1598639455782313,0.7659455782312925
2.0,4-planets,4,0.2942738943695942,0.29491525423728815,0.8943864406779661
2.0,5-planets,5,0.0342699768047206,0.5117056856187291,1.0580936454849499
3.0,2-planets,2,-9.999448315083312e-13,0.026755852842809364,0.635742474916388
3.0,3-planets,3,0.07296254480478294,0.17328519855595667,0.7458916967509025
3.0,4-planets,4,0.04618115630480871,0.08,0.6771933333333333
3.0,5-planets,5,0.0770155838498656,0.08666666666666667,0.7029166666666666
4.0,2-planets,2,-9.999778782803793e-13,0.06462585034013606,0.6523299319727892
4.0,3-planets,3,0.01667094268879476,0.0436241610738255,0.5923926174496644
4.0,4-planets,4,0.013898514816598775,0.023333333333333334,0.6138
4.0,5-planets,5,0.032612409566804196,0.013422818791946308,0.6144228187919464
5.0,2-planets,2,-9.999711722354843e-13,0.026845637583892617,0.513755033557047
5.0,3-planets,3,0.10879476801905422,0.06688963210702341,0.6414515050167223
5.0,4-planets,4,0.035664341409069836,0.25333333333333335,0.83238
5.0,5-planets,5,0.050221800564136866,0.08053691275167785,0.7209295302013423
6.0,2-planets,2,-9.999576924075283e-13,0.10101010101010101,0.7012154882154883
6.0,3-planets,3,0.0019172918357064188,0.06711409395973154,0.6288154362416107
6.0,4-planets,4,0.029203021165641375,0.08361204013377926,0.6985451505016722
6.0,5-planets,5,0.04536045744645954,0.29152542372881357,0.8564033898305085
7.0,3-planets,3,0.009967039762824086,0.10333333333333333,0.7403933333333333
7.0,4-planets,4,0.01809529194242048,0.03767123287671233,0.5948356164383561
7.0,5-planets,5,0.02888340403210525,0.2558922558922559,0.8383400673400673
8.0,2-planets,2,-9.999852797672181e-13,0.006666666666666667,0.5111066666666666
8.0,3-planets,3,0.2325193060468959,0.03666666666666667,0.6569666666666666
8.0,4-planets,4,0.006361952889064946,0.18120805369127516,0.7302214765100671
8.0,5-planets,5,0.12769120165840664,0.040268456375838924,0.6656409395973154
9.0,2-planets,2,-9.999737801417337e-13,0.10738255033557047,0.7118456375838926
9.0,3-planets,3,0.0012871453444604137,0.0033333333333333335,0.46241666666666675
9.0,4-planets,4,0.02796897487128722,0.06333333333333334,0.6569099999999999
10.0,3-planets,3,0.0037824393063400734,0.06920415224913495,0.7543321799307959
10.0,4-planets,4,0.024963928458189375,0.05067567567567568,0.6176216216216216
10.0,5-planets,5,0.04779825762379541,0.2833333333333333,0.8639033333333334
11.0,2-planets,2,-9.999600553029024e-13,0.030100334448160536,0.5641638795986622
11.0,3-planets,3,0.10707690820908251,0.013377926421404682,0.607180602006689
11.0,4-planets,4,0.009444041686726825,0.013377926421404682,0.5277056856187292
12.0,2-planets,2,-9.999718770748433e-13,0.0888030888030888,0.6498378378378378
12.0,3-planets,3,0.07612818668888599,0.3482758620689655,0.953351724137931
