lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.099055
# Elements of inverse mass matrix:
# 0.61382, -0.00769756, 0.0199232, 0.00268383
# -0.00769756, 0.00808258, -0.0263225, 0.00950397
# 0.0199232, -0.0263225, 0.783253, -0.0212601
# 0.00268383, 0.00950397, -0.0212601, 0.050772
-99.512149,0.99771063,0.099055017,4,31,0,101.26342,0.45655978,1.4085132,0.36307897,-3.1669277,0.042132845,-0.27316944,-0.91320815,-0.070160689,-0.93865199,-1.0403599,-1.1880296,-0.30868595,-0.2580679,-1.1818114,-0.18386481,-0.29552331,-0.51793746,-0.098720063,-0.37011814,-1.3584964,-0.13528597,-0.61852013,-0.11083475,-1.4549364,-0.28888374,-0.33871256,-0.26162296,-2.539433,-1.1843061,-2.1897502,-1.1838159,-2.6126969,-0.066726407,-0.52128777,-0.52092069,-1.6853718,-0.27556835,-0.24104933,-0.4552828,-0.11003969,-0.28155875,-1.6466996,-1.2481019,-0.064414805,-0.2010054,-0.14094234,-4.1677732,-0.19382383,-1.4930179,-0.3726542,-0.74089637,-0.80192435,-0.15734987,-0.48310936,-0.79163587,-0.24939797,-0.13477332,-1.1379684,-1.2559618,-0.056744348,-0.064045817,-2.0881494,-6.620254,-0.42081062,-0.6715788,-0.68355941,-1.8313141,-0.088588348,-0.3522478,-0.063968344,-0.19094807,-0.91375734,-0.94187366,-0.88414896,-0.071234099,-0.71694882,-0.97568615,-0.78601919,-0.50647504,-1.4174192,-4.2179746,-0.099961005,-0.11038149,-1.0167954,-0.06898835,-0.065186395,-0.10665993,-0.99488182,-0.14530905,-0.08083639,-0.66017037,-0.45944828,-1.7192334,-0.061198075,-0.11496137,-0.87069693,-0.573035,-0.42903282,-1.3735065,-0.17795269,-0.330427,-1.0096155,-0.23544071,-1.7135942,-0.059799128
-101.20778,0.99765096,0.099055017,6,63,0,101.65459,0.56868842,1.4828084,0.36271307,-2.8174179,0.059760049,-0.31306801,-0.88281092,-0.17744179,-0.89853177,-0.99213073,-1.1371075,-0.51823283,-0.30088642,-1.12066,-0.24858548,-0.5153565,-0.51507376,-0.15988138,-0.60312082,-1.2783763,-0.18610226,-0.60212649,-0.21051307,-1.366201,-0.32510968,-0.36946358,-0.30349482,-3.0980878,-1.126363,-2.0690235,-1.1263731,-2.4132799,-0.1576627,-0.52907664,-0.53315161,-1.5580951,-0.33008835,-0.44812364,-0.46657662,-0.17893131,-0.32575928,-1.5237412,-1.1678085,-0.17016902,-0.38789066,-0.20390898,-3.7839303,-0.24890954,-1.4248532,-0.39946824,-0.73756629,-0.76975178,-0.23472628,-0.49635867,-0.78307953,-0.30579456,-0.19906935,-1.0807417,-1.1744791,-0.14460648,-0.13761619,-1.9088525,-5.5578641,-0.45605694,-0.65137283,-0.67532153,-1.7071834,-0.20423776,-0.39463687,-0.17592003,-0.37364283,-0.89769674,-0.89215334,-0.87563592,-0.19757722,-0.7022802,-1.3189858,-0.76357941,-0.50919772,-1.3372056,-4.042665,-0.17980096,-0.26309844,-0.97363792,-0.19426118,-0.18587804,-0.16661558,-0.9420421,-0.19445131,-0.1779558,-0.64549845,-0.47574942,-1.6306395,-0.14940833,-0.26879068,-0.85974092,-0.58043057,-0.43538139,-1.2968547,-0.24033893,-0.37622476,-0.95439181,-0.44025714,-1.5788623,-0.13582812
-100.54566,0.99740917,0.099055017,5,31,0,104.87105,0.55984524,1.4731182,0.36265483,-2.939465,0.05289402,-0.30761201,-0.88617284,-0.16281249,-0.90423269,-0.99836168,-1.1418979,-0.48994553,-0.29495098,-1.1287473,-0.23889902,-0.48328296,-0.5168655,-0.15373989,-0.56944562,-1.289556,-0.18136523,-0.60634754,-0.19444441,-1.3786243,-0.32059935,-0.36501445,-0.29759558,-3.0105834,-1.1335095,-2.0783784,-1.1328903,-2.4366882,-0.1464051,-0.5279849,-0.53070888,-1.5767384,-0.32055869,-0.41673035,-0.46581479,-0.17055522,-0.31861318,-1.5427694,-1.1805798,-0.15628401,-0.36239682,-0.19558797,-3.8234977,-0.24136177,-1.429661,-0.39568239,-0.73621488,-0.77520621,-0.22239021,-0.49443893,-0.78248598,-0.29659612,-0.19077796,-1.0882997,-1.1870253,-0.13469082,-0.13023311,-1.9385548,-5.5145796,-0.44874778,-0.65609045,-0.67667971,-1.7247136,-0.1863132,-0.38656833,-0.16115791,-0.34916783,-0.89649349,-0.90097013,-0.8725876,-0.18287961,-0.70490298,-1.2700629,-0.76741893,-0.50902476,-1.3455223,-4.0483666,-0.16927665,-0.24234326,-0.97956708,-0.17803563,-0.1702996,-0.16060984,-0.95088935,-0.18990785,-0.16428303,-0.6478922,-0.47357064,-1.6384235,-0.13904577,-0.24712213,-0.85838706,-0.57855973,-0.43608061,-1.3062597,-0.23109821,-0.36794785,-0.96354292,-0.40908238,-1.6006158,-0.12819438
-100.19925,0.99864506,0.099055017,5,31,0,101.99134,0.68953401,1.4516576,0.36266941,-3.006381,0.049470387,-0.29574594,-0.89416553,-0.13116104,-0.9109333,-1.006353,-1.1600791,-0.42108716,-0.28200003,-1.1458326,-0.22755296,-0.42513301,-0.5103412,-0.12988747,-0.4990519,-1.3145694,-0.16185157,-0.60523552,-0.16969803,-1.4073862,-0.3120311,-0.35459572,-0.28398477,-2.8360233,-1.150854,-2.1458857,-1.1473514,-2.487776,-0.11324915,-0.52600837,-0.52703109,-1.5957581,-0.31025445,-0.36122841,-0.46346749,-0.15150013,-0.30334692,-1.5668474,-1.1959382,-0.12775564,-0.30956534,-0.17489069,-3.885475,-0.22540154,-1.4634417,-0.38751046,-0.74434634,-0.77577012,-0.20602376,-0.49085213,-0.79319083,-0.28776882,-0.17104698,-1.1036845,-1.2001055,-0.10353953,-0.10363385,-1.9756659,-5.3823056,-0.4426156,-0.65775025,-0.68237871,-1.7666834,-0.15644384,-0.37827773,-0.13084415,-0.29702043,-0.90653838,-0.90828519,-0.88011659,-0.14116475,-0.71144102,-1.1693847,-0.77687661,-0.49743761,-1.361378,-4.4016743,-0.14773826,-0.19913264,-0.99311511,-0.14301064,-0.13664015,-0.13833968,-0.95925573,-0.17081246,-0.13340683,-0.64242793,-0.46998498,-1.6817818,-0.10590892,-0.20212678,-0.86950086,-0.57618822,-0.42734624,-1.3286428,-0.21187434,-0.36024799,-0.97238699,-0.35342993,-1.6279034,-0.1015174
-99.016674,0.99998903,0.099055017,4,15,0,100.34028,0.57979367,1.4480199,0.36221152,-2.9730184,0.051148692,-0.29477836,-0.8967261,-0.1257599,-0.91567678,-1.0126698,-1.1614178,-0.40869402,-0.28117314,-1.148335,-0.22051965,-0.40537665,-0.51474052,-0.12941454,-0.48289462,-1.3153017,-0.16124174,-0.60839414,-0.16436164,-1.4076551,-0.30938781,-0.35497902,-0.28375928,-2.754467,-1.153164,-2.1347424,-1.1518854,-2.5009291,-0.11254718,-0.52578068,-0.52783835,-1.6103393,-0.30646913,-0.34565177,-0.46190811,-0.1467437,-0.30476189,-1.5762811,-1.2022369,-0.12024588,-0.29455984,-0.17342726,-3.9337708,-0.22369746,-1.4600318,-0.38744836,-0.74129411,-0.78224159,-0.20023687,-0.49075301,-0.78950245,-0.28192666,-0.16855239,-1.1063806,-1.208381,-0.1009057,-0.10112899,-1.9845617,-5.8278006,-0.44095828,-0.66014358,-0.68083318,-1.7660962,-0.14943544,-0.37592209,-0.12299805,-0.28234623,-0.90630621,-0.91331097,-0.88088195,-0.13423441,-0.71028451,-1.1312053,-0.77527492,-0.50497505,-1.370956,-4.2237957,-0.14302367,-0.1885332,-0.9942457,-0.1339178,-0.12793438,-0.13745296,-0.96470007,-0.17060519,-0.1305134,-0.6495946,-0.46924596,-1.6770238,-0.10477952,-0.19324698,-0.86742963,-0.57750486,-0.43086156,-1.3318882,-0.21114351,-0.35676027,-0.97777272,-0.33869451,-1.6362099,-0.098430875
-101.14937,0.99613907,0.099055017,3,15,0,102.2877,0.58296453,1.4850636,0.36245535,-2.7728114,0.062486083,-0.31488503,-0.88266913,-0.18067077,-0.89719839,-0.99070499,-1.1372938,-0.52037898,-0.30280769,-1.1192151,-0.25226233,-0.5206286,-0.51419387,-0.16051317,-0.6070654,-1.276277,-0.18666636,-0.6006768,-0.21546868,-1.3639288,-0.32685803,-0.37097876,-0.30530759,-3.0846656,-1.1254107,-2.0719124,-1.1254086,-2.408196,-0.15940311,-0.52994299,-0.53450621,-1.5521703,-0.33393003,-0.45418122,-0.467229,-0.1810573,-0.3280227,-1.5181434,-1.1641431,-0.17341487,-0.39166544,-0.20589722,-3.7723655,-0.25122424,-1.4265437,-0.40095344,-0.73956133,-0.76793162,-0.23906316,-0.49746796,-0.78498554,-0.30961302,-0.20115786,-1.0793572,-1.1706698,-0.1458517,-0.13833784,-1.8996721,-5.5687159,-0.4593445,-0.65001695,-0.6759106,-1.7039171,-0.20916129,-0.39799903,-0.17929272,-0.37708801,-0.89980444,-0.88948738,-0.87839301,-0.19905299,-0.70233824,-1.3192135,-0.76335914,-0.50868937,-1.3355329,-4.071014,-0.18267125,-0.26690938,-0.97288962,-0.19743642,-0.18900341,-0.16741582,-0.93948024,-0.19501078,-0.18098145,-0.64445511,-0.4770005,-1.6319302,-0.15063778,-0.27288097,-0.86209071,-0.58167651,-0.43475607,-1.2953616,-0.24305545,-0.37977973,-0.95171567,-0.44626592,-1.5723123,-0.13664065
-99.549113,0.96051447,0.099055017,4,26,1,105.997,0.76661557,1.446949,0.36086673,-2.9112778,0.054406166,-0.29707388,-0.90033894,-0.12393909,-0.91371584,-1.0090319,-1.1724424,-0.3806667,-0.28291534,-1.1541899,-0.23370165,-0.39887232,-0.50820273,-0.12261577,-0.45978159,-1.3254522,-0.15642659,-0.60460559,-0.17051319,-1.4191138,-0.31454897,-0.35629726,-0.28476612,-2.596853,-1.1595846,-2.1892717,-1.1549633,-2.5035486,-0.10165566,-0.53024479,-0.53068066,-1.5931075,-0.31663649,-0.3395336,-0.4676751,-0.15033277,-0.30345746,-1.5667153,-1.1968947,-0.12177339,-0.28520196,-0.17309763,-3.9000338,-0.22519317,-1.4872145,-0.38976289,-0.75650666,-0.77450056,-0.21033364,-0.4944467,-0.80629085,-0.2949046,-0.16952095,-1.1116589,-1.200184,-0.092787532,-0.094947299,-1.9744648,-5.3004446,-0.45023551,-0.65780072,-0.68854015,-1.7814997,-0.15464558,-0.38548646,-0.12373163,-0.2730058,-0.91970934,-0.90831944,-0.89249213,-0.12296927,-0.71761433,-1.0811873,-0.78398335,-0.49363062,-1.3684874,-4.7626488,-0.1453037,-0.18335794,-1.000513,-0.13276154,-0.12729298,-0.13168128,-0.95954932,-0.16541842,-0.12706989,-0.64008327,-0.47356168,-1.7094173,-0.094401537,-0.18609597,-0.88281412,-0.58001193,-0.42491546,-1.338533,-0.21074384,-0.36753586,-0.97289717,-0.33212738,-1.6279982,-0.092643716
-97.197703,0.99900072,0.099055017,5,31,0,100.30145,0.50211008,1.4322498,0.32339833,-3.0831609,0.045814212,-0.37422811,-0.99694637,-0.13120757,-1.018804,-1.1179743,-1.2653153,-0.13098344,-0.35918705,-1.254622,-0.28459585,-0.14498147,-0.61043197,-0.18641008,-0.16174791,-1.4242367,-0.22883397,-0.70661553,-0.19718012,-1.5176491,-0.38982342,-0.43918999,-0.36251154,-0.65912868,-1.2585279,-2.2465113,-1.2585155,-2.6396507,-0.13579526,-0.61694303,-0.61802618,-1.7341505,-0.37991846,-0.142847,-0.55175351,-0.20068325,-0.38361828,-1.6961592,-1.3131871,-0.12658307,-0.10986712,-0.23530305,-4.1337151,-0.29374197,-1.5655272,-0.47285138,-0.83361349,-0.88473735,-0.25597946,-0.58035847,-0.88262278,-0.35316702,-0.22886339,-1.2121493,-1.3208545,-0.12279101,-0.14084911,-2.1141486,-6.5355854,-0.52378057,-0.75838127,-0.77444195,-1.8815516,-0.15541643,-0.45582251,-0.11931755,-0.104568,-1.0028668,-1.0181611,-0.97603465,-0.07865041,-0.80564558,-0.30491987,-0.87200177,-0.60061736,-1.4850226,-4.273703,-0.18824592,-0.10000346,-1.0959324,-0.10050741,-0.10376446,-0.19659476,-1.0701828,-0.24006242,-0.15324772,-0.74901686,-0.55759295,-1.7851875,-0.12714679,-0.10806399,-0.96145421,-0.6689599,-0.52392737,-1.4413396,-0.2770565,-0.43460735,-1.0839061,-0.1427031,-1.7576693,-0.13480509
-96.834554,0.99704526,0.099055017,4,15,0,99.054297,0.47866908,1.4141436,0.33276475,-3.0811304,0.045907335,-0.34627568,-0.98506146,-0.10044432,-1.0083214,-1.1099397,-1.2596349,-0.12460581,-0.33082235,-1.2497393,-0.2535269,-0.13448042,-0.58997292,-0.1559696,-0.15814986,-1.4235747,-0.19886979,-0.68883383,-0.16471126,-1.5190507,-0.3621657,-0.41299961,-0.33438972,-0.81469287,-1.2533281,-2.2625645,-1.2536065,-2.6713039,-0.10515767,-0.59538349,-0.59608289,-1.7436368,-0.35068816,-0.12662683,-0.52875607,-0.16944298,-0.35563459,-1.7038831,-1.3110419,-0.095475941,-0.093301497,-0.20478043,-4.2188678,-0.26366091,-1.5661722,-0.44730675,-0.81624655,-0.87151075,-0.22406663,-0.55765286,-0.86648128,-0.3233164,-0.1980559,-1.2062915,-1.3192654,-0.092476094,-0.11025171,-2.1325556,-7.4117277,-0.49828153,-0.74158954,-0.75646625,-1.8913295,-0.12390742,-0.42881188,-0.08855541,-0.087537743,-0.9898189,-1.0084022,-0.96185818,-0.052726415,-0.78883744,-0.35021184,-0.85693759,-0.57985132,-1.4866481,-4.3166282,-0.15632604,-0.075014762,-1.0864857,-0.07175447,-0.074426153,-0.16596566,-1.0615411,-0.21016965,-0.12220661,-0.73214486,-0.5341051,-1.7907277,-0.097068198,-0.082848906,-0.94679763,-0.64818687,-0.50128511,-1.4409216,-0.24651835,-0.40677085,-1.0758453,-0.12599468,-1.7672152,-0.10412211
-96.374689,0.99817981,0.099055017,4,15,0,97.599696,0.49885793,1.4314303,0.33241551,-3.0746037,0.046207936,-0.35322008,-0.97572062,-0.1195094,-0.99778432,-1.09703,-1.2441998,-0.15831512,-0.33830253,-1.233831,-0.26464229,-0.16886821,-0.58903094,-0.1684785,-0.19414559,-1.4037372,-0.20948893,-0.68531782,-0.18118076,-1.4972523,-0.3686267,-0.4179049,-0.34164097,-0.87854228,-1.2376325,-2.2254294,-1.2375996,-2.6203578,-0.12217486,-0.59541157,-0.59646979,-1.7145641,-0.35899379,-0.15896837,-0.53021923,-0.18256356,-0.36269945,-1.6765703,-1.2928905,-0.11457649,-0.12410371,-0.21640805,-4.1165388,-0.27357783,-1.5443132,-0.45142372,-0.8120146,-0.86366929,-0.23697507,-0.55880784,-0.86105762,-0.33237242,-0.21004125,-1.191315,-1.3005699,-0.10945674,-0.12516168,-2.0958694,-6.4975514,-0.50226115,-0.73710865,-0.75295016,-1.8616126,-0.14319779,-0.43451737,-0.10864599,-0.11795295,-0.98132072,-0.99737188,-0.9543717,-0.07596712,-0.7842461,-0.39834737,-0.85069953,-0.57926019,-1.4643314,-4.2490212,-0.17099683,-0.10109872,-1.0748801,-0.094089984,-0.096066531,-0.17823624,-1.0494203,-0.22045886,-0.13937209,-0.72774502,-0.53601762,-1.7641458,-0.1138879,-0.10874243,-0.93983454,-0.64739392,-0.5025146,-1.4206686,-0.25738617,-0.41332679,-1.0631966,-0.1579813,-1.7384232,-0.11949515
