lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99
# Adaptation terminated
# Step size = 0.265613
# Elements of inverse mass matrix:
# 0.514289, -0.00440222, 0.0104331, -0.000152749
# -0.00440222, 0.0118505, -0.0296515, 0.0020843
# 0.0104331, -0.0296515, 0.25828, -0.00513842
# -0.000152749, 0.0020843, -0.00513842, 0.0579587
-78.481813,0.99228484,0.26561318,4,15,0,80.761548,0.41026915,1.2514733,0.11552699,-2.9250275,0.053663216,0.12704874,-0.87018923,0.086829858,-2.2172099,-0.029113463,-1.4561067,-0.33247084,-1.8412706,-0.90795071,0.040502217,-0.68146543,-1.8591199,-1.375122,0.18217968,-0.13179749,0.16947253,-0.42853239,-0.54199235,-0.49606988,-0.19358579,-0.43462134,0.044831792,-0.83230773,-0.17552342,-0.054426657,-0.18552307,0.16723658,-2.5312844,-0.2924901,-0.35920561,-2.0295531,0.0095442773,-1.961174,0.02573098,-1.1394078,-0.38745365,-0.69700767,-0.6177306,-0.75260176,0.16752765,-0.23103049,-2.2076648,-1.141207,-0.06237415,-0.39011928,0.073211562,0.12053572,-0.26409095,-0.90341412,-0.71346224,-0.2588167,-0.096731848,0.17163294,-0.93378908,0.065182535,0.053780388,-4.5161327,-0.18764814,-1.7770648,-0.14465905,0.081879005,-3.0185378,-0.016530646,-0.039485995,0.1603935,0.16690102,-0.072279017,-0.051419287,0.13325029,0.087104146,-0.11201314,-0.23695245,-0.070311725,0.13466351,-0.11454906,-3.5343028,-1.7557933,0.052855885,-2.4821903,-0.31159911,0.15511394,-0.74823517,-0.047229832,-1.9021583,-1.1007941,-0.24110744,-0.4651437,-0.61430348,-0.65816735,-1.0796519,-2.9101827,-0.34056019,0.06471615,-0.52839506,-0.24542615,-0.61452428,-2.1694219,0.05625623,-0.1701411
-83.312832,0.94154174,0.26561318,4,15,0,85.474565,0.442562,1.1472016,0.12086413,-3.6100853,0.027049539,0.24431359,-0.96775852,0.30998664,-2.5768658,0.038102829,-1.6766475,-0.33620075,-2.1412434,-1.0037246,0.12044803,-0.37202814,-2.1736926,-1.5944228,0.32923811,-0.085233893,0.3228647,-0.45183146,-0.57070899,-0.54083485,0.08692202,-0.45921183,0.13168011,-0.92569853,-0.14199395,0.20892181,-0.15832364,0.32342279,-2.9529089,-0.2858689,-0.36485456,-2.3546783,0.08343255,-2.2727244,0.10463366,-1.2943984,-0.4085208,-0.7609274,-0.66672425,-0.82956716,0.34019602,-0.2137705,-2.5607451,-1.2805676,0.20094908,-0.084561581,0.16319467,0.3301478,0.028789738,-1.009784,-0.78405416,-0.24919455,0.1755597,0.31740625,-1.0572788,0.16075174,0.2890192,-5.3309967,-0.16348549,-2.0569716,-0.10711743,0.17782255,-3.529914,0.23720025,0.021910456,0.30324964,0.32331043,-0.018472081,0.21016698,0.3355435,0.17411622,0.1527137,0.041790469,-0.0038251239,0.27643647,-0.063135094,-4.089501,-2.0389114,0.13500301,-2.8725967,-0.30286318,0.27861195,-0.83239211,0.018024341,-2.2196587,-0.8024391,-0.2313418,-0.48192431,-0.68000607,-0.33991654,-1.2319015,-3.3706427,-0.33600192,0.29842354,-0.57130913,0.046578389,-0.29922819,-2.5252613,0.14353812,-0.13722868
-82.332708,0.99668258,0.26561318,4,15,0,86.707422,0.51088352,1.2593636,0.10734093,-2.1002333,0.12242786,0.10230281,-0.91004796,0.12204868,-2.2188597,-0.062699358,-1.4521584,-0.35141947,-1.8170344,-0.97625565,0.016035821,-0.41391447,-1.7747766,-1.3238322,0.19269979,-0.17030685,0.15638877,-0.44741419,-0.60024213,-0.48786723,-0.07852327,-0.45316001,0.01566485,-0.85402385,-0.20426708,0.0044080664,-0.21171964,0.1515214,-2.5293097,-0.31814113,-0.38393917,-2.0339829,-0.01840244,-1.9663107,-0.0020045234,-1.1546191,-0.38383547,-0.73389861,-0.65462699,-0.77956703,0.1631774,-0.25535453,-2.2130398,-1.2137027,0.010293838,-0.23975265,0.060356638,0.14607983,-0.14307837,-0.9324422,-0.74325929,-0.27484439,-0.035800483,0.16459209,-0.93308637,0.023328674,0.084317722,-4.9393307,-0.20464194,-1.7737237,-0.1717901,0.056097568,-3.0097904,0.034898329,-0.067361546,0.14082571,0.1512639,-0.10000997,0.0091271786,0.13795027,0.084974629,0.0080998282,-0.075604684,-0.11659973,0.094757123,-0.14940876,-3.6804584,-1.7540271,0.027785245,-2.4995914,-0.36334259,0.1566821,-0.75332432,-0.090066937,-1.8258036,-0.69281293,-0.24544662,-0.51852546,-0.60481461,-0.43174963,-1.0752065,-3.0406285,-0.3782987,0.078004039,-0.54554305,-0.13220175,-0.39151934,-2.1687774,0.028897329,-0.19715935
-80.916939,1,0.26561318,3,7,0,83.190193,0.65952044,1.2602037,0.10427847,-2.2606175,0.10428606,0.094973248,-0.92240251,0.1339268,-2.2258412,-0.069686346,-1.4660113,-0.36326245,-1.841243,-0.98883459,0.0034583621,-0.33078967,-1.7697233,-1.32759,0.1904747,-0.17498425,0.14953798,-0.46171381,-0.61238075,-0.49564041,-0.048180028,-0.46770517,0.0093811019,-0.85819112,-0.21038199,0.030210279,-0.22315428,0.14693164,-2.5391833,-0.32811835,-0.39309056,-2.0423963,-0.027773664,-1.974114,-0.010979709,-1.1631283,-0.38878663,-0.73659884,-0.65774741,-0.78209084,0.15771251,-0.26789337,-2.2105378,-1.2299782,0.047464763,-0.18202986,0.060508342,0.16093262,-0.10127719,-0.94028672,-0.7514738,-0.28646065,-0.0065399421,0.1560803,-0.9488417,0.0057997467,0.096577991,-4.9007412,-0.21622315,-1.7875293,-0.18119581,0.046339717,-3.0151348,0.053478998,-0.076721659,0.13517346,0.14690894,-0.1091802,0.03192711,0.14217943,0.080070994,0.037355957,-0.040061711,-0.11360504,0.10069314,-0.14954178,-3.4815546,-1.7814622,0.013480297,-2.4647883,-0.38397619,0.15693185,-0.76413681,-0.10662014,-1.8082012,-0.56892718,-0.24803841,-0.53478213,-0.60885559,-0.35254439,-1.0916055,-2.9838538,-0.38194777,0.093832002,-0.5604141,-0.089734639,-0.31643496,-2.18528,0.01924689,-0.20569867
-81.061339,0.99284108,0.26561318,4,15,0,84.258763,0.60138699,1.2423123,0.086961745,-3.0971826,0.045176304,0.068799341,-0.97379583,0.18831026,-2.3369771,-0.10991487,-1.5654921,-0.4245107,-1.9602614,-1.0147338,-0.03762551,0.0072462505,-1.956527,-1.4733395,0.15967327,-0.21632035,0.14372489,-0.52414745,-0.64056457,-0.58752181,0.12837712,-0.53039867,-0.028582703,-0.92872006,-0.26110323,0.15637435,-0.27525096,0.14389546,-2.6593527,-0.38371211,-0.45076854,-2.1481747,-0.069678314,-2.0779304,-0.05154603,-1.2434298,-0.47538823,-0.79318677,-0.71263004,-0.84800429,0.16677856,-0.32215642,-2.3205961,-1.2537467,0.16206873,0.071550677,0.0061065177,0.19124321,0.10589764,-1.0047134,-0.81171199,-0.34875667,0.14244781,0.14029576,-1.0358335,-0.011383106,0.17690644,-4.7305755,-0.27589499,-1.891863,-0.23146557,0.011138909,-3.1491921,0.16485465,-0.12189264,0.12300261,0.14386893,-0.15613437,0.15745163,0.1794011,0.018704204,0.16184102,0.13162857,-0.14832984,0.093782755,-0.19492784,-3.5775192,-1.882225,-0.025910313,-2.5781303,-0.41099599,0.11066661,-0.84382192,-0.13271398,-1.9948745,-0.094735281,-0.32653482,-0.5638008,-0.70532481,-0.00081904436,-1.1843635,-3.0284316,-0.42998565,0.17246718,-0.62600075,0.11028791,0.014596524,-2.2958464,-0.018538469,-0.25691931
-80.142403,0.98984962,0.26561318,4,15,0,83.764942,0.4015552,1.2530298,0.091636638,-3.1087317,0.044657559,0.072097438,-0.94242889,0.16213788,-2.2875504,-0.099698069,-1.5295701,-0.4077755,-1.9152733,-0.97810369,-0.02807044,-0.087894447,-1.9370378,-1.4522704,0.15148201,-0.2040634,0.14111824,-0.50381521,-0.61369099,-0.5732415,0.076916007,-0.5099235,-0.021978308,-0.90567515,-0.24921988,0.11657295,-0.25997327,0.14065113,-2.6010257,-0.36717322,-0.43385412,-2.1004049,-0.060210055,-2.0321616,-0.043010026,-1.212424,-0.4644125,-0.76971718,-0.69066419,-0.82581886,0.15989391,-0.30588134,-2.277318,-1.2104558,0.11641163,0.0028592963,0.0069418436,0.16683349,0.047960069,-0.97622294,-0.78681747,-0.33435436,0.10122725,0.13751207,-1.0088631,0.0013439173,0.1505119,-4.5530828,-0.26288742,-1.8494068,-0.2184978,0.01791998,-3.0868696,0.13062195,-0.11125315,0.1220774,0.14034724,-0.14490553,0.11914914,0.16368015,0.019952018,0.11036512,0.070335004,-0.14002968,0.091713488,-0.18653636,-3.5824435,-1.828794,-0.015048669,-2.5486097,-0.38452384,0.10439253,-0.82327124,-0.11768314,-1.9788545,-0.22137529,-0.31747509,-0.53749385,-0.69096056,-0.089009999,-1.1545163,-2.9677219,-0.41386787,0.14757588,-0.60355754,0.053088069,-0.072338748,-2.2405362,-0.010341306,-0.24412364
-78.482984,0.99889629,0.26561318,3,15,0,80.930836,0.68810506,1.1880633,0.11976862,-2.9135872,0.054280663,0.20248337,-0.93131048,0.22466987,-2.4176658,0.016447673,-1.5736968,-0.32682171,-2.0055065,-0.98026411,0.093064355,-0.52746024,-1.9717913,-1.4584002,0.28578243,-0.098756391,0.26452838,-0.43640105,-0.56777846,-0.50063749,-0.040248597,-0.4432955,0.10362401,-0.87704991,-0.14746072,0.096594298,-0.16377287,0.26405503,-2.7705614,-0.28201647,-0.35523299,-2.2113514,0.059480086,-2.1344662,0.078865888,-1.2219799,-0.37793026,-0.72924008,-0.6411081,-0.78847391,0.27276064,-0.21524366,-2.3983246,-1.2455607,0.098830249,-0.23019065,0.14421463,0.25724353,-0.10670208,-0.96185239,-0.75053867,-0.24379536,0.054428595,0.26468968,-0.99519664,0.11656074,0.19111152,-5.2412752,-0.16421886,-1.9313823,-0.11570997,0.14451776,-3.3056998,0.12849907,0.0033121727,0.2501433,0.26404873,-0.033739735,0.097268956,0.25543213,0.15711937,0.048177974,-0.076172507,-0.023551479,0.22521294,-0.074313985,-3.7615604,-1.923594,0.10521529,-2.675613,-0.3171275,0.24812801,-0.78476745,-0.012573637,-2.0103014,-0.9758565,-0.21500578,-0.48422063,-0.62806772,-0.50775986,-1.1573368,-3.1917655,-0.33191698,0.20149258,-0.54789274,-0.086571798,-0.46081319,-2.374111,0.11368598,-0.14334422
-78.549056,0.99935756,0.26561318,4,15,0,79.499686,0.31574126,1.2401925,0.10566447,-2.9706123,0.051271908,0.11745563,-0.90956742,0.15614646,-2.283983,-0.05194015,-1.5102088,-0.36520682,-1.9024461,-0.9450616,0.020678088,-0.30659011,-1.9285814,-1.4328833,0.18742724,-0.15820432,0.17818754,-0.46205593,-0.57425109,-0.53470902,-0.0088534431,-0.46835032,0.025145805,-0.87496279,-0.20483009,0.070732233,-0.21339331,0.17718331,-2.5996451,-0.3230986,-0.39219534,-2.090502,-0.011721855,-2.0219013,0.0048837283,-1.1860425,-0.4250306,-0.73404361,-0.653516,-0.79235507,0.18875544,-0.26063977,-2.2773031,-1.1821899,0.069030294,-0.13144155,0.052912195,0.17170246,-0.055629342,-0.94507915,-0.75176692,-0.2906465,0.046020138,0.17557256,-0.97878761,0.050508844,0.13698268,-4.5901372,-0.21793066,-1.8363685,-0.17245661,0.065632455,-3.1014877,0.095962724,-0.063492947,0.1623005,0.17646733,-0.097804817,0.074426837,0.1768033,0.066611524,0.041805776,-0.033155733,-0.094077379,0.13252025,-0.14196431,-3.6661695,-1.8073314,0.035114023,-2.5696063,-0.33734611,0.14471458,-0.79214091,-0.070205462,-1.9706006,-0.55264317,-0.27368218,-0.49658665,-0.6551718,-0.29706226,-1.1262672,-2.9904873,-0.37224572,0.13911473,-0.56349508,-0.045523324,-0.27054984,-2.2297253,0.038333601,-0.1992492
-79.286773,0.99439812,0.26561318,3,7,0,79.65428,0.31147526,1.2669228,0.10498223,-3.0720185,0.046327547,0.089784971,-0.88569243,0.099535964,-2.2035492,-0.06674151,-1.4632971,-0.36535424,-1.8412781,-0.91840177,0.0012218381,-0.40164912,-1.8697811,-1.3921678,0.14915172,-0.16724185,0.14073206,-0.45815715,-0.56403929,-0.52855417,-0.084954241,-0.46419708,0.0054241258,-0.85291108,-0.21181246,0.0042956865,-0.22018245,0.13954806,-2.5071296,-0.32489081,-0.39092987,-2.0185936,-0.029012905,-1.95263,-0.013484636,-1.1514907,-0.42315459,-0.71753235,-0.64046529,-0.77364622,0.14612433,-0.26532593,-2.19542,-1.1450584,0.0014111117,-0.21476355,0.031058586,0.11940804,-0.13391557,-0.92003201,-0.73493171,-0.29412515,-0.022669172,0.13927281,-0.95402086,0.029021844,0.078212516,-4.3732333,-0.22467715,-1.7756744,-0.18110537,0.04287025,-2.9865527,0.031509974,-0.077749005,0.12817619,0.13886542,-0.11020011,0.0077389355,0.12752597,0.043675227,-0.031420961,-0.11332038,-0.10619224,0.10213401,-0.15178068,-3.4823854,-1.7499835,0.014694153,-2.4687971,-0.33810216,0.113703,-0.77442927,-0.083907965,-1.9087119,-0.65892523,-0.27811274,-0.49003174,-0.64393843,-0.38959681,-1.0956884,-2.8633595,-0.37135004,0.082993777,-0.55539495,-0.12262068,-0.36210092,-2.1535262,0.017694544,-0.20659303
-79.449369,0.99925409,0.26561318,4,15,0,80.825899,0.27324777,1.2466536,0.11371457,-3.0502008,0.047349417,0.12860544,-0.87579131,0.106164,-2.2378174,-0.030627734,-1.4738232,-0.33964465,-1.8642226,-0.9084422,0.038847101,-0.58782368,-1.8953404,-1.4018032,0.18346404,-0.13422333,0.17601944,-0.43516072,-0.54311403,-0.50920668,-0.14510709,-0.44144355,0.04310363,-0.84324356,-0.18090691,-0.019893643,-0.18900231,0.17476653,-2.5491192,-0.29721463,-0.36593004,-2.0454179,0.0081233261,-1.9778243,0.023745764,-1.1509797,-0.40070983,-0.70202479,-0.62254428,-0.76058457,0.17654155,-0.23607445,-2.2301018,-1.1424554,-0.025155545,-0.31910532,0.068640776,0.13466157,-0.20880939,-0.91182643,-0.72068307,-0.26625373,-0.055124892,0.17490733,-0.94816621,0.068066591,0.079066208,-4.4778891,-0.19455224,-1.7961492,-0.1490119,0.081419818,-3.0473218,0.015630396,-0.042248936,0.16524693,0.17386395,-0.075817163,-0.016144935,0.14825205,0.081124335,-0.076255471,-0.18963379,-0.070752511,0.14054425,-0.11858857,-3.5793869,-1.7670055,0.053095908,-2.5183712,-0.30925303,0.15034015,-0.76348649,-0.048450697,-1.9339809,-0.96396445,-0.2498065,-0.46716532,-0.6281353,-0.56407449,-1.09379,-2.9235052,-0.34521442,0.088657366,-0.53542516,-0.19259122,-0.52651699,-2.1833574,0.056111587,-0.17563988
