participant_id,alpha_true,alpha_hat,a_true,a_hat,t0_true,t0_hat,scaler_true,scaler_hat
1,0.6863039387334261,0.513,1.2118371631364813,1.221,0.0841360896373162,0.11,0.291188241899125,0.06
2,0.7254174922478079,0.504,1.3492420377567411,1.3,0.2410808614057821,0.246,0.1674656742433782,0.064
3,0.3937010983266721,0.562,1.6440519481673064,1.449,0.2633694605291233,0.301,0.1913755609798982,0.068
4,0.763756949843485,0.49,1.126688200539988,1.162,0.3499845263344561,0.353,0.1209135727102146,0.061
5,0.4752163801731982,0.53,1.2592490727727017,1.428,0.3669847818950448,0.348,0.4828346618027518,0.048
