lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.108693
# Elements of inverse mass matrix:
# 0.403581, 0.00318782, -0.0121836, -0.00906674
# 0.00318782, 0.0155348, -0.0415662, 0.00045852
# -0.0121836, -0.0415662, 0.795081, 0.00942095
# -0.00906674, 0.00045852, 0.00942095, 0.059003
-124.22388,0.99964119,0.10869276,4,15,0,124.27784,0.44893736,1.4431917,0.314588,-2.6092195,0.07359196,-0.31388448,-1.4276536,-0.43937809,-0.43180702,-1.0266675,-0.93295993,-1.9825186,-0.27881253,-1.1732568,-3.5559876,-0.15255243,-0.35244907,-0.34890492,-1.4370311,-0.56748491,-3.4063618,-2.3228392,-0.54302402,-3.706689,-0.25746787,-0.80338342,-0.60354457,-1.7196702,-1.0976798,-1.4869006,-0.28669979,-0.52639005,-2.1859182,-0.22132531,-0.67853207,-1.557407,-1.0015124,-0.45087219,-0.72147893,-1.1240885,-1.0283625,-0.2743253,-1.7923818,-0.13044363,-0.59002197,-1.6561501,-0.40875952,-0.49461882,-0.49489503,-3.3397127,-1.0921641,-0.20162265,-0.40956152,-0.18324771,-0.18324771,-0.86192354,-3.7218999,-1.2744749,-0.16362461,-0.53965937,-0.37410916,-2.0598752,-0.4895477,-1.7775662,-0.99355176,-0.97118275,-0.4328201,-1.6299686,-0.27786405,-4.258819,-2.5650678,-0.27360123,-1.6272108,-0.15820889,-1.2196019,-0.74013957,-0.4423969,-0.19393725,-1.4659711,-3.2303428,-1.0401655,-0.35474282,-0.079895543,-0.98006537,-0.23696708,-1.5076685,-0.13384506,-0.42113615,-0.73033674,-0.67491473,-0.96691043,-0.52072089,-1.3853317,-0.43521102,-0.24764401,-0.16186055,-0.52886132,-0.43195304,-1.6173119,-3.0810211,-0.91795672,-2.9223657,-1.059061,-1.0650981,-2.6153144
-124.61434,0.99927406,0.10869276,5,31,0,126.00847,0.54881775,1.3611205,0.31428849,-2.6334055,0.071833419,-0.28133828,-1.5466324,-0.19046831,-0.41652447,-1.0889429,-0.58506445,-2.1800736,-0.23835398,-1.2622975,-4.316789,-0.088042939,-0.32804014,-0.32533297,-1.5635788,-0.56715466,-3.8178757,-2.5007059,-0.28367383,-3.7195045,-0.21553615,-0.83401265,-0.61295222,-1.8445027,-1.1643977,-1.6023322,-0.2550261,-0.5287854,-2.3981615,-0.17350101,-0.69615984,-1.0842646,-1.0585148,-0.44284183,-0.748361,-1.1951098,-1.1007755,-0.23475012,-1.9422133,-0.0043820487,-0.594744,-1.8172562,-0.39125883,-0.48854801,-0.49190506,-3.6930071,-1.161669,-0.14551896,-0.39110786,-0.11844064,-0.11844064,-0.90578812,-4.0982337,-1.3598146,-0.082800496,-0.53693471,-0.34742549,-2.2183096,-0.48128016,-1.9334399,-1.0516815,-1.0254287,-0.42149555,-1.7477831,-0.06997388,-4.1266321,-2.7290169,-0.23903988,-1.7467886,-0.10182268,-1.3002795,-0.772921,-0.43730289,-0.12062295,-1.5885143,-3.3926735,-1.0975743,-0.14354171,0.0140566,-1.0361884,-0.19882951,-1.6386037,0.024688367,-0.18122086,-0.76663368,-0.68677409,-1.015383,-0.52324618,-1.4968455,-0.19446889,-0.20357457,-0.091812741,-0.52722252,-0.41643226,-1.7553526,-3.4034494,-0.96537499,-3.2261663,-1.1244021,-1.140321,-1.9738721
-123.52426,0.99938255,0.10869276,4,31,0,125.2478,0.52283246,1.4528587,0.31145661,-2.5788441,0.075861642,-0.32524733,-1.4290065,-0.42658152,-0.44467272,-1.0282753,-0.88793365,-1.9797591,-0.29619646,-1.1819793,-3.6013798,-0.16071347,-0.35765853,-0.35447071,-1.4445446,-0.57531548,-3.3736604,-2.2841085,-0.53417857,-3.5616476,-0.26228811,-0.80025694,-0.61815959,-1.6994287,-1.0979097,-1.4808978,-0.3000531,-0.53628533,-2.176648,-0.22938613,-0.6799271,-1.4398665,-1.0037369,-0.45999419,-0.72696791,-1.1228578,-1.0388803,-0.28803516,-1.7793712,-0.14311266,-0.59218423,-1.6622103,-0.41360553,-0.50304914,-0.50794649,-3.3141356,-1.0915224,-0.21480803,-0.41951673,-0.19632892,-0.19632892,-0.86630026,-3.7059678,-1.2659073,-0.18174245,-0.54812989,-0.37944638,-2.0304076,-0.49234736,-1.7693453,-0.99402399,-0.97310518,-0.44833266,-1.6117586,-0.27370362,-4.1222015,-2.5206887,-0.28001446,-1.6111867,-0.16662851,-1.2117648,-0.74644748,-0.45271277,-0.21032451,-1.4673362,-3.1885203,-1.0394401,-0.35716656,-0.090017067,-0.97740354,-0.24532068,-1.5109757,-0.13904149,-0.41348161,-0.74380072,-0.67856069,-0.96469259,-0.53128784,-1.385532,-0.42807599,-0.25944603,-0.17572869,-0.53705482,-0.4412227,-1.6125441,-3.0634415,-0.92030753,-2.9045371,-1.0596508,-1.0746125,-2.3768478
-124.83431,0.99788347,0.10869276,4,31,0,125.73463,0.61691825,1.451625,0.31685318,-2.5947249,0.074666414,-0.31309064,-1.4222288,-0.49290662,-0.43402885,-1.0163658,-1.0459319,-1.9771173,-0.28938831,-1.1768111,-3.6669821,-0.14680254,-0.34121774,-0.33884824,-1.4386113,-0.56003009,-3.3486956,-2.2459645,-0.62260402,-3.452065,-0.24486994,-0.78317241,-0.61000168,-1.6813231,-1.0810706,-1.4621376,-0.29120465,-0.52589848,-2.1714724,-0.21396377,-0.66343742,-1.7359446,-0.98979313,-0.44877097,-0.7161764,-1.10818,-1.0362791,-0.27719635,-1.7679254,-0.14728091,-0.5741062,-1.6640723,-0.39660036,-0.49004297,-0.5006288,-3.3090978,-1.0792902,-0.20440475,-0.40638175,-0.18553456,-0.18553456,-0.85598284,-3.7316334,-1.2493953,-0.17854512,-0.53381595,-0.36074029,-1.999227,-0.47443037,-1.7561782,-0.98289883,-0.95999568,-0.44215518,-1.5901502,-0.30992919,-4.0169545,-2.495288,-0.2649048,-1.5974882,-0.15429916,-1.1984641,-0.73869406,-0.44422621,-0.20267295,-1.4571411,-3.1748991,-1.0222499,-0.40213811,-0.084213183,-0.96396165,-0.23191509,-1.5006183,-0.15585135,-0.48307965,-0.7421339,-0.66199062,-0.94861109,-0.52120437,-1.3760994,-0.49155736,-0.24872221,-0.16648412,-0.52359277,-0.4275975,-1.6043959,-3.0673095,-0.90727038,-2.9023423,-1.0471943,-1.0701322,-2.9440067
-123.44811,0.9996183,0.10869276,5,31,0,125.34006,0.49313998,1.391435,0.31007207,-2.711102,0.066463524,-0.30248031,-1.5061154,-0.23741481,-0.4294238,-1.0740569,-0.60544582,-2.1057429,-0.25900246,-1.2306351,-3.8968188,-0.12273826,-0.34969331,-0.34678581,-1.5137282,-0.57531737,-3.6486533,-2.4538815,-0.32101685,-3.8073627,-0.24370263,-0.83597167,-0.61409716,-1.8163242,-1.1459687,-1.5641271,-0.27607424,-0.53715734,-2.3243646,-0.20268252,-0.70186701,-1.0587762,-1.0443507,-0.4560567,-0.74831024,-1.1764707,-1.0775881,-0.25755883,-1.8961287,-0.048175773,-0.6050491,-1.7545185,-0.41000015,-0.50006016,-0.50007705,-3.5642613,-1.1450271,-0.17426103,-0.40702683,-0.14955088,-0.14955088,-0.89837867,-3.9665105,-1.3413845,-0.11496036,-0.54618154,-0.36861126,-2.1756732,-0.49663525,-1.8813146,-1.0397095,-1.0136183,-0.43210234,-1.7193334,-0.1219305,-4.2863841,-2.7033059,-0.26465291,-1.7198934,-0.13461991,-1.2849155,-0.77089538,-0.44970553,-0.15098666,-1.5421229,-3.3868391,-1.0831931,-0.188499,-0.027995286,-1.0288495,-0.2256232,-1.5860904,-0.02608668,-0.22573204,-0.75975528,-0.69111001,-1.0068064,-0.5315903,-1.462228,-0.23938772,-0.22881442,-0.1244651,-0.53703577,-0.43144771,-1.7108952,-3.2867514,-0.95630354,-3.1163962,-1.108354,-1.1154632,-1.8324206
-123.91428,0.99869401,0.10869276,5,31,0,124.93529,0.52004836,1.3915579,0.31363597,-2.5941532,0.074709116,-0.29388479,-1.501689,-0.27087368,-0.423529,-1.064877,-0.69173594,-2.1050911,-0.25513758,-1.2304366,-4.0175219,-0.11067195,-0.33604543,-0.33298361,-1.5185502,-0.56803949,-3.6612552,-2.4285313,-0.36832646,-3.6902715,-0.2297171,-0.82011917,-0.61167956,-1.7917307,-1.1396203,-1.558922,-0.26719861,-0.5282044,-2.3156668,-0.19047078,-0.68823229,-1.2161077,-1.0371193,-0.44575979,-0.73770861,-1.1677181,-1.074601,-0.25034444,-1.8822653,-0.04935132,-0.59196125,-1.7575211,-0.3968955,-0.49104495,-0.49409532,-3.5552943,-1.1342813,-0.16665762,-0.39847379,-0.14278566,-0.14278566,-0.88876265,-3.9485852,-1.3246112,-0.11381453,-0.53865222,-0.35688844,-2.1541449,-0.48323626,-1.8733888,-1.0284423,-1.0045754,-0.42726539,-1.6991286,-0.1385745,-4.1372672,-2.6566633,-0.25065507,-1.6961682,-0.12123253,-1.2661406,-0.75977993,-0.43899014,-0.14914592,-1.5438775,-3.3184323,-1.0758798,-0.21551671,-0.018586943,-1.0125132,-0.21195059,-1.5919425,-0.028556288,-0.25912968,-0.75382341,-0.68224043,-0.99587316,-0.5227579,-1.4542227,-0.2737417,-0.2200388,-0.11800459,-0.52817094,-0.42263783,-1.7014819,-3.2769099,-0.94707092,-3.1076446,-1.0990644,-1.1132961,-2.1342622
-123.73332,0.99939509,0.10869276,4,31,0,124.47831,0.48296381,1.4164176,0.31382333,-2.6819041,0.068432729,-0.3035341,-1.462553,-0.34874055,-0.42587845,-1.0459495,-0.79721199,-2.0398779,-0.26435314,-1.1973048,-3.714469,-0.13321434,-0.34650591,-0.34342487,-1.4700607,-0.56623071,-3.517787,-2.3822236,-0.4454819,-3.7496793,-0.24570479,-0.81525044,-0.60409925,-1.764638,-1.1163874,-1.5195945,-0.27733572,-0.52764634,-2.2521366,-0.20744549,-0.6858645,-1.3651922,-1.0179398,-0.44926306,-0.73086654,-1.1452866,-1.0491247,-0.26144118,-1.8400414,-0.087139596,-0.59286702,-1.7010894,-0.40474687,-0.49264836,-0.49307025,-3.4490516,-1.1143093,-0.18344304,-0.40354966,-0.16176108,-0.16176108,-0.87602127,-3.8472379,-1.3040022,-0.13509687,-0.53790891,-0.36624298,-2.1122028,-0.48827969,-1.8249091,-1.0124293,-0.98781037,-0.42811913,-1.6702931,-0.20458176,-4.2747715,-2.6328625,-0.26476193,-1.6708213,-0.14234199,-1.248975,-0.75198374,-0.44231328,-0.16748206,-1.4979825,-3.3155921,-1.0559941,-0.27633958,-0.050911747,-1.0010487,-0.2273094,-1.5403341,-0.081012792,-0.33410798,-0.74178287,-0.67758942,-0.98161876,-0.52217852,-1.4201076,-0.34679293,-0.23361317,-0.13885957,-0.52829766,-0.42694076,-1.6602889,-3.18223,-0.93250193,-3.0168546,-1.0791608,-1.0860243,-2.3332644
-123.97986,0.99866454,0.10869276,4,23,0,124.95623,0.52850607,1.5038003,0.27361872,-2.8369406,0.058604688,-0.42679117,-1.4542747,-0.27394744,-0.53668697,-1.0848027,-0.44899398,-1.9636949,-0.39431637,-1.2196559,-3.3398661,-0.27092936,-0.46225502,-0.45970404,-1.4575472,-0.65917502,-3.2293718,-2.2678564,-0.33072634,-3.6064075,-0.37188244,-0.87769392,-0.69595417,-1.7291962,-1.1448463,-1.4992218,-0.40442004,-0.62619049,-2.158706,-0.33885623,-0.76356678,-0.59836229,-1.0590124,-0.55594586,-0.80571063,-1.1714192,-1.0905744,-0.39003673,-1.7910155,-0.20477027,-0.68061417,-1.6647592,-0.51401947,-0.59418813,-0.59686605,-3.2198962,-1.1454384,-0.31898081,-0.51542354,-0.29845385,-0.29845385,-0.93472761,-3.6207477,-1.3142962,-0.27255928,-0.63434035,-0.47980923,-2.0286521,-0.58760648,-1.7738978,-1.0552765,-1.0328095,-0.54012821,-1.6397757,-0.21688316,-4.3334747,-2.5320927,-0.38979282,-1.6473754,-0.28008547,-1.2671301,-0.82538422,-0.55046403,-0.30344971,-1.4802477,-3.2264299,-1.091008,-0.27687577,-0.18907451,-1.045325,-0.35710309,-1.5157745,-0.16604709,-0.26912307,-0.81911575,-0.75657934,-1.025597,-0.62159061,-1.4180976,-0.28586839,-0.36429208,-0.27714102,-0.62576627,-0.53592097,-1.6315034,-2.9925201,-0.98372352,-2.8393956,-1.1139108,-1.1222771,-0.86990077
-124.55947,0.99107969,0.10869276,3,7,0,125.45604,0.51954896,1.5062895,0.2681356,-2.8485279,0.057929537,-0.43899984,-1.4632066,-0.25783317,-0.54855005,-1.0953662,-0.40991124,-1.9706339,-0.40573795,-1.2290977,-3.3356711,-0.28294139,-0.47509068,-0.47250654,-1.4661251,-0.67114513,-3.2326791,-2.2767279,-0.30980935,-3.6218353,-0.38483437,-0.8895209,-0.70714663,-1.738612,-1.155433,-1.5087584,-0.41644399,-0.63801299,-2.1653555,-0.35140266,-0.77558779,-0.5324168,-1.0697223,-0.5680881,-0.81713448,-1.1818884,-1.1003307,-0.40197157,-1.7995287,-0.21000408,-0.69297334,-1.6723029,-0.52675729,-0.60628125,-0.60846516,-3.223195,-1.1558905,-0.33060359,-0.52763588,-0.30975887,-0.30975887,-0.94567913,-3.6218466,-1.3246252,-0.28201172,-0.64632606,-0.49260424,-2.0377517,-0.60026169,-1.7822594,-1.0659831,-1.0436112,-0.5516741,-1.6495244,-0.20962019,-4.3548924,-2.5404992,-0.40261924,-1.6567202,-0.29233332,-1.27748,-0.83656771,-0.56247404,-0.31381887,-1.489195,-3.2334418,-1.1018678,-0.26758747,-0.19852992,-1.0563003,-0.36975381,-1.5244652,-0.16673591,-0.25327311,-0.8297231,-0.76848634,-1.0367517,-0.63338644,-1.4273264,-0.27067328,-0.37634114,-0.28804797,-0.6377928,-0.54815249,-1.6400846,-2.9961255,-0.9946948,-2.843728,-1.1244336,-1.1320311,-0.7663448
-124.19015,0.99327737,0.10869276,5,31,0,129.14717,0.66117413,1.387317,0.3139114,-2.6867115,0.06810453,-0.29159875,-1.5123347,-0.26056975,-0.42304292,-1.0675486,-0.68352741,-2.1240194,-0.25670347,-1.2401822,-4.1555071,-0.10405995,-0.33133353,-0.32957545,-1.525798,-0.56232765,-3.6337655,-2.3936866,-0.36696844,-3.56764,-0.22272613,-0.81758664,-0.61408221,-1.792975,-1.132929,-1.5495579,-0.26959938,-0.53069548,-2.3337932,-0.18408891,-0.68479659,-1.2032549,-1.0352436,-0.44758487,-0.74182197,-1.1660628,-1.0891987,-0.24813979,-1.8913964,-0.042313381,-0.58554006,-1.7808644,-0.39135032,-0.48956926,-0.4995615,-3.5785249,-1.1376571,-0.1633783,-0.39578475,-0.13711953,-0.13711953,-0.89357561,-4.0402889,-1.3238757,-0.11186013,-0.5344209,-0.34751646,-2.1305389,-0.47701258,-1.8757,-1.0336309,-1.0050664,-0.43295733,-1.692018,-0.1263539,-4.0430166,-2.654985,-0.24730379,-1.7044929,-0.1187793,-1.2718762,-0.76898082,-0.44511892,-0.14367564,-1.5463999,-3.344039,-1.0692027,-0.20652384,-0.014380525,-1.0160808,-0.21024685,-1.5918973,-0.02345794,-0.25628916,-0.76953536,-0.67627681,-0.99302158,-0.52557487,-1.4613484,-0.26375725,-0.21880341,-0.11319336,-0.52612433,-0.41966825,-1.7127339,-3.3166134,-0.94764427,-3.1343368,-1.1011032,-1.1245914,-2.127166
