lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.177738
# Elements of inverse mass matrix:
# 0.452561, 0.0236343, -0.0330637, -0.0273044
# 0.0236343, 0.0141834, -0.02551, 0.00329383
# -0.0330637, -0.02551, 0.281075, 0.000175441
# -0.0273044, 0.00329383, 0.000175441, 0.0412565
-63.322362,0.99979205,0.17773848,5,31,0,65.009127,0.44725844,1.2897686,0.25389668,-3.1932489,0.041038324,-0.3625192,-0.1213932,-0.29548287,-1.192115,0.081590603,-4.6545321,-0.17634126,-4.4951898,-2.0026107,0.061793343,-0.16559644,0.045794496,-0.68906456,-0.81509744,-0.74970725,-0.61187353,-0.35989714,-1.5324813,-0.29576745,0.081044825,-1.3734526,0.069036615,-0.39384247,-2.3043541,-1.4462176,0.09126482,0.10543075,-0.12116092,-2.0855551,-0.43467088,-0.49979535,-3.4974668,-0.12571818,0.078180181,-0.48015858,-0.43546673,0.075244327,-1.1784699,-2.045804,-0.073127657,-5.072046,-0.81573799,-1.7889769,-0.73229511,0.064740367,-3.8629912,-0.87964919,-0.74532393,-0.4249667,-1.4626875
-63.304482,0.99909699,0.17773848,5,31,0,65.336346,0.41821452,1.4620553,0.24016888,-2.6449156,0.071011349,-0.42744544,-0.47762899,-0.38360853,-1.069176,-0.2275074,-3.6796295,-0.2903917,-3.5830154,-1.6875902,-0.25806053,-0.29303839,-0.17377237,-0.66253865,-1.1185934,-0.73539499,-0.61350321,-0.41112861,-1.3175358,-0.39415411,-0.22594553,-1.1920358,-0.25020894,-0.46213925,-1.9217836,-1.250259,-0.19913233,-0.18339971,-0.24310061,-1.7653258,-0.48732164,-0.53272211,-2.86799,-0.26189168,-0.13367129,-0.53356128,-0.49943115,-0.23981386,-1.0771998,-1.7138364,-0.4131001,-3.8846436,-0.80076022,-1.5204199,-0.70123805,-0.25896527,-3.1398032,-0.8477724,-0.73343132,-0.78443995,-1.2731778
-63.352006,0.99600143,0.17773848,4,31,0,65.560334,0.21705336,1.3113035,0.25238936,-3.0926862,0.04537989,-0.3677357,-0.17263939,-0.30038752,-1.1700143,0.040020472,-4.2488556,-0.18838967,-4.1714987,-1.9744674,0.020636555,-0.17476467,0.025836149,-0.68943937,-0.86237664,-0.74152482,-0.60748701,-0.36942798,-1.5099954,-0.30047563,0.041179804,-1.3550218,0.026806135,-0.39672253,-2.2566394,-1.4234494,0.059508376,0.062739458,-0.13446409,-2.0621935,-0.43995792,-0.49561272,-3.4910478,-0.13582897,0.048529388,-0.473259,-0.43028094,0.044395874,-1.1435168,-2.0246717,-0.12790972,-4.3660458,-0.79737459,-1.7491833,-0.72535594,0.02886224,-3.588804,-0.85884506,-0.73755505,-0.48077783,-1.4287275
-64.626136,0.99463917,0.17773848,5,31,0,65.935663,0.77704405,1.4204576,0.2273916,-3.0342624,0.048110136,-0.44676519,-0.23204991,-0.40100638,-1.1291,-0.099683884,-4.2157374,-0.29647753,-4.0711458,-1.7648183,-0.12311659,-0.30314808,-0.14373052,-0.69875168,-0.60516061,-0.76260643,-0.65356604,-0.42883078,-1.3880716,-0.40826571,-0.10815532,-1.2603283,-0.11546615,-0.48707727,-2.0121632,-1.318187,-0.1153388,-0.071694687,-0.25240677,-1.8148611,-0.50352377,-0.56255179,-3.0405932,-0.25774462,-0.10180885,-0.5594201,-0.52273627,-0.1294109,-1.1376005,-1.8089737,-0.19202099,-4.1384876,-0.83628434,-1.6316983,-0.75252003,-0.13702091,-3.3869011,-0.89128639,-0.75870438,-0.3951644,-1.3587407
-63.671163,0.99644628,0.17773848,4,15,0,66.761739,0.30362489,1.2976762,0.26324448,-2.8508601,0.057794593,-0.33561582,-0.28780428,-0.26946065,-1.1547373,0.030132188,-4.4745946,-0.15299908,-4.3488776,-1.9582684,-0.00082208139,-0.14280149,0.053370706,-0.65654789,-1.3798958,-0.72164667,-0.57863665,-0.33190263,-1.4876751,-0.27273265,0.029741756,-1.3298469,0.010998134,-0.36861582,-2.2454613,-1.4011149,0.066609819,0.064588844,-0.096206236,-2.0587144,-0.41016056,-0.4677539,-3.4723079,-0.10319581,0.083673262,-0.45124867,-0.40721902,0.034015068,-1.1414392,-1.9961553,-0.2194229,-5.0866198,-0.78664792,-1.7333287,-0.69596086,0.012105607,-3.8074951,-0.8481665,-0.71804684,-0.75661235,-1.4152217
-64.893818,0.99697786,0.17773848,4,15,0,65.478317,0.64517372,1.4364673,0.19671268,-3.0440835,0.047639952,-0.52201874,-0.13118885,-0.47485432,-1.1900406,-0.1020178,-4.0415015,-0.37285741,-3.9161793,-1.8219094,-0.10854933,-0.37446528,-0.20266198,-0.77125956,-0.26554394,-0.835193,-0.72307426,-0.50755236,-1.4479128,-0.48079462,-0.10101123,-1.3208413,-0.11208966,-0.55719912,-2.0678436,-1.3792039,-0.14075765,-0.081706309,-0.326357,-1.8806906,-0.57949443,-0.63587245,-3.0461746,-0.33545552,-0.15981953,-0.6304409,-0.59440776,-0.13485913,-1.1957883,-1.8597531,-0.10481277,-4.079684,-0.90348527,-1.6739316,-0.81813037,-0.13240852,-3.3560389,-0.95630655,-0.83200784,-0.19034145,-1.4111217
-61.543971,0.98320685,0.17773848,3,15,0,69.168498,0.42225325,1.3790135,0.24521042,-2.9467802,0.052508501,-0.39527131,-0.28946648,-0.33991785,-1.1195353,-0.073733738,-4.0556608,-0.23570387,-3.9447808,-1.8252268,-0.097617799,-0.23070216,-0.066272108,-0.67346504,-0.91197333,-0.73685245,-0.61009418,-0.38729112,-1.4112369,-0.34439397,-0.073364188,-1.2712182,-0.090226459,-0.4267928,-2.0892048,-1.3355518,-0.0547767,-0.042039008,-0.18569165,-1.9033016,-0.46004824,-0.5145785,-3.1457492,-0.19595243,-0.032380014,-0.50387977,-0.46505033,-0.081569724,-1.1146144,-1.8603811,-0.2365708,-4.271812,-0.79991726,-1.6362747,-0.71300717,-0.095804866,-3.4172379,-0.85460924,-0.73361481,-0.57664452,-1.3533278
-64.567767,0.9858906,0.17773848,4,15,0,65.026785,0.16659088,1.4448311,0.22523351,-2.7186936,0.065960869,-0.45675903,-0.2872171,-0.40357896,-1.1156476,-0.14895069,-3.6081061,-0.31263441,-3.5553583,-1.777715,-0.16190543,-0.30446929,-0.15472546,-0.71564234,-0.64911435,-0.76723332,-0.64971313,-0.45370774,-1.3910456,-0.40874022,-0.14266918,-1.2624049,-0.16384116,-0.48567367,-2.0058714,-1.3180915,-0.14010409,-0.12375281,-0.26454145,-1.8583859,-0.52051534,-0.55742728,-3.0471504,-0.27018043,-0.13422059,-0.54429838,-0.50926047,-0.14797195,-1.0952055,-1.821214,-0.25379805,-3.608019,-0.81493783,-1.5892836,-0.74540489,-0.16333842,-3.0739648,-0.86539594,-0.76483796,-0.46816234,-1.3246459
-66.279101,0.99348629,0.17773848,4,15,0,67.973836,0.089009463,1.3857885,0.24109041,-2.6141483,0.073230129,-0.40689657,-0.26908167,-0.34653854,-1.1241083,-0.077456957,-3.8036654,-0.24873977,-3.7534386,-1.8522708,-0.096011834,-0.2363006,-0.068380728,-0.69577171,-0.80870817,-0.74024046,-0.62006826,-0.4089849,-1.4326395,-0.34779762,-0.075423769,-1.2932312,-0.091474715,-0.43439939,-2.0994039,-1.3524254,-0.054377901,-0.054092351,-0.19890504,-1.9339397,-0.47469237,-0.51648886,-3.2553344,-0.19902556,-0.054494638,-0.49533061,-0.45716723,-0.066680483,-1.0913876,-1.9106651,-0.23392787,-3.7154818,-0.78524229,-1.6502722,-0.72795503,-0.085853189,-3.2049404,-0.8426909,-0.73656925,-0.52228048,-1.3549645
-63.008586,0.99887112,0.17773848,5,31,0,68.896575,0.32237497,1.2872947,0.24764315,-3.0726571,0.046297973,-0.38096941,-0.049461122,-0.31236249,-1.21393,0.098793882,-4.5698946,-0.19347765,-4.4454004,-2.0345761,0.086800101,-0.18110212,0.037308415,-0.71058159,-0.57016171,-0.77122862,-0.62990118,-0.37977882,-1.5573483,-0.3132578,0.10242154,-1.3970922,0.087586106,-0.41223445,-2.3303841,-1.4695591,0.096219696,0.11895309,-0.13672644,-2.1284683,-0.45525983,-0.51639558,-3.5648982,-0.14079339,0.068433314,-0.49640944,-0.45155978,0.091569532,-1.1967607,-2.0763792,-0.0098935964,-5.0451109,-0.83488497,-1.8077016,-0.75043178,0.083852723,-3.8641946,-0.89802661,-0.76713447,-0.28349971,-1.4815675
