lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.0767017
# Elements of inverse mass matrix:
# 0.516632, 0.0213764, -0.0955382, -0.0299128
# 0.0213764, 0.0174931, -0.038159, 0.0041466
# -0.0955382, -0.038159, 1.2614, 0.0173819
# -0.0299128, 0.0041466, 0.0173819, 0.0544519
-63.089965,0.99757671,0.076701718,5,31,0,64.441439,0.34607537,1.4239797,0.24286619,-3.2357987,0.039328779,-0.35036821,-0.32497672,-3.0734692,-0.45320936,-0.15681475,-0.61490596,-1.3204832,-0.10631374,-4.0283018,-1.196995,-0.18858563,-2.7914752,-0.33925876,-4.3763696,-0.38652456,-0.15434405,-0.26222199,-0.082488474,-0.12465548,-0.12816557,-0.24077141,-1.9366408,-0.34744752,-1.342112,-0.67605044,-0.1050645,-3.3613899,-0.41712695,-0.36088346,-0.40542492,-1.3459726,-0.35658616,-1.5970748,-0.092724087,-0.41075088,-0.70264896,-2.2939325,-0.94010966,-0.69034658,-1.7523104,-1.1015647,-0.26179711,-0.71899489,-0.11428016,-0.95797343,-0.83402541,-0.15356898,-2.7909866,-0.6133067,-0.16133576
-62.380339,0.99921942,0.076701718,5,31,0,64.137052,0.48406821,1.4597752,0.2731736,-2.9655654,0.051531323,-0.29989526,-0.27754748,-2.9031143,-0.39154459,-0.15316341,-0.54665917,-1.2121604,-0.13769168,-3.9351623,-1.1097806,-0.1871197,-2.5646137,-0.28505568,-4.0956053,-0.34189014,-0.16662145,-0.21885331,-0.13856022,-0.16586499,-0.16463701,-0.77112558,-1.8031966,-0.29450945,-1.2339477,-0.60182115,-0.14103697,-3.1077622,-0.36304346,-0.30629727,-0.34671137,-1.2412919,-0.31211712,-1.479365,-0.1502786,-0.35129031,-2.3096363,-2.1648544,-0.86497995,-0.6135053,-1.6126591,-1.0065328,-0.22693908,-0.63874701,-0.33426191,-0.86799778,-0.75117314,-0.14998749,-2.6112476,-0.55212336,-0.14812786
-61.997137,0.99891408,0.076701718,5,47,0,64.364994,0.4485222,1.3352664,0.26810739,-2.6904773,0.067848547,-0.25778136,-0.22851282,-3.4116899,-0.3737029,-0.034517817,-0.56371208,-1.3563015,0.027039726,-5.6749333,-1.2460726,-0.083350593,-2.8371134,-0.23933765,-5.2593891,-0.30961698,-0.039930383,-0.15062937,0.059469244,-0.0060389318,-0.0099220056,-0.23102679,-2.0913258,-0.25103514,-1.3924173,-0.63151627,0.025616902,-3.4171995,-0.33829117,-0.26643357,-0.31758851,-1.403403,-0.2711762,-1.6719802,0.039678406,-0.32314949,-1.17518,-2.5638819,-0.95161161,-0.64174461,-1.8382978,-1.1113834,-0.15807207,-0.67383688,-0.0059120661,-0.94779089,-0.80893332,-0.029063498,-3.0305988,-0.56970734,-0.034887657
-63.913795,0.99254467,0.076701718,3,7,0,64.193248,0.48461088,1.3251744,0.26904029,-2.6217438,0.072676023,-0.25219806,-0.22239264,-3.4783335,-0.36974723,-0.02418893,-0.5637138,-1.3665641,0.040577298,-7.4172413,-1.2630521,-0.077374561,-2.8242135,-0.23286233,-5.3878837,-0.30760502,-0.031314632,-0.14250618,0.076430396,0.0043679153,0.0002456305,-0.20881814,-2.117511,-0.24524205,-1.4040165,-0.63151353,0.038263362,-3.3969519,-0.33454809,-0.26064116,-0.31268054,-1.4173429,-0.26832028,-1.6886196,0.053585796,-0.3184257,-1.1683553,-2.6209178,-0.96283193,-0.64187257,-1.8487813,-1.119288,-0.1515535,-0.67354304,0.013380303,-0.95257842,-0.81191017,-0.017988217,-3.0667945,-0.57279064,-0.023587161
-61.678075,0.97064046,0.076701718,4,15,0,65.128364,0.34878784,1.3468221,0.27539425,-2.8302971,0.058995321,-0.24250773,-0.21409794,-3.3032196,-0.35670503,-0.030314455,-0.54026928,-1.3243574,0.01889513,-4.7311215,-1.1979466,-0.068780474,-2.8733207,-0.22675271,-5.0604159,-0.28702109,-0.033127838,-0.14081787,0.038956451,-0.0072476314,-0.0098791506,-0.39247455,-2.03633,-0.2363264,-1.3575771,-0.60966745,0.019795506,-3.461102,-0.31977883,-0.25187271,-0.30171306,-1.3638663,-0.25006758,-1.6303396,0.027123657,-0.30715608,-1.7172284,-2.4615819,-0.91109872,-0.6199788,-1.8107548,-1.0801135,-0.14365344,-0.65414579,-0.068975666,-0.92155501,-0.783964,-0.027032538,-2.97182,-0.54043465,-0.032605305
-63.957801,0.99895549,0.076701718,5,31,0,64.305112,0.75884122,1.4614791,0.24658188,-2.6834195,0.068329106,-0.35685314,-0.3333591,-3.0575061,-0.45132046,-0.18658854,-0.60721504,-1.2724681,-0.14419822,-4.7471059,-1.204238,-0.24588191,-2.5051533,-0.34522615,-4.0447465,-0.41859002,-0.21027628,-0.2743771,-0.10561875,-0.18870533,-0.19086054,-0.34871333,-1.8572389,-0.35393542,-1.2880163,-0.65887415,-0.14840231,-2.9770232,-0.42091372,-0.36489562,-0.4065598,-1.3003385,-0.3908407,-1.5448668,-0.14176904,-0.41269332,-0.95083444,-2.3119106,-0.95479342,-0.67594842,-1.6193617,-1.0706696,-0.28233376,-0.69729381,-0.19142415,-0.93028456,-0.81251763,-0.18034715,-2.6697016,-0.63660739,-0.18292367
-62.911763,0.99999028,0.076701718,5,31,0,65.386121,0.69559353,1.4684197,0.26499837,-2.9380364,0.052969636,-0.32135586,-0.29900778,-2.9380775,-0.41306613,-0.17074773,-0.56526116,-1.2252095,-0.1483946,-4.1336053,-1.1365644,-0.21420429,-2.5207872,-0.31031971,-3.9771648,-0.37071958,-0.1885665,-0.24372533,-0.1354041,-0.18170775,-0.18145622,-0.62846128,-1.7998096,-0.31895499,-1.2399992,-0.61708912,-0.1527685,-3.0275154,-0.38241615,-0.32958539,-0.3698263,-1.2496262,-0.3446015,-1.4935506,-0.15759557,-0.37557309,-1.7641049,-2.1952564,-0.89187353,-0.63456381,-1.5927496,-1.0239623,-0.2505263,-0.65605886,-0.29586899,-0.88507584,-0.76855213,-0.16606205,-2.607913,-0.58224572,-0.16616251
-63.077697,0.99888899,0.076701718,5,31,0,64.474638,0.6542996,1.4308911,0.27871552,-2.7710383,0.062596978,-0.27259153,-0.24899238,-3.0393818,-0.36876214,-0.11625078,-0.53122455,-1.2234525,-0.096874741,-4.5380219,-1.1357562,-0.16306286,-2.5485521,-0.25854692,-4.1788738,-0.32597178,-0.13713981,-0.18839032,-0.088821227,-0.13435876,-0.13328579,-0.78511888,-1.8381477,-0.26836657,-1.2429633,-0.58591255,-0.10227625,-3.069478,-0.33866704,-0.27977952,-0.32229069,-1.2546676,-0.29636177,-1.505743,-0.11124912,-0.32802119,-2.6418436,-2.2667181,-0.87800682,-0.60140487,-1.6127196,-1.0121701,-0.19821409,-0.62471673,-0.30369621,-0.86629955,-0.74425356,-0.11128788,-2.680947,-0.54900025,-0.10932782
-62.504008,0.9998015,0.076701718,5,63,0,64.746144,0.50437075,1.3642351,0.28199592,-2.7296406,0.065242736,-0.2327123,-0.20553715,-3.2551361,-0.34161771,-0.038352127,-0.52266994,-1.2826529,0.00044771673,-5.1009783,-1.1775321,-0.084143237,-2.7250884,-0.21528969,-4.7859577,-0.28390845,-0.049947384,-0.13365755,0.015311327,-0.033439225,-0.034453901,-0.59956067,-1.9755549,-0.22672034,-1.3123601,-0.58587215,-0.0030153244,-3.2963225,-0.30820521,-0.24069271,-0.28883519,-1.3235373,-0.24846584,-1.5882706,-0.00258121,-0.29435126,-2.4875492,-2.4270346,-0.89502513,-0.59821119,-1.7359755,-1.0487877,-0.14263325,-0.62705316,-0.15272356,-0.8904537,-0.75713055,-0.033341276,-2.8858019,-0.53116659,-0.034967119
-62.086708,0.99971304,0.076701718,5,63,0,63.11137,0.41804343,1.3573994,0.27771968,-2.6607166,0.069898118,-0.24061108,-0.21287779,-3.2757299,-0.35110849,-0.03757061,-0.53476612,-1.3016051,0.0082683561,-5.0305137,-1.1918321,-0.082469325,-2.7659152,-0.22140483,-5.0146624,-0.29084916,-0.047047643,-0.13784768,0.028105519,-0.025430947,-0.027358523,-0.47266765,-2.0121978,-0.2324609,-1.3375436,-0.60131633,0.0068280627,-3.3404017,-0.31856184,-0.24759374,-0.29645923,-1.3470994,-0.25233317,-1.605691,0.011584726,-0.30145785,-1.9906672,-2.4562934,-0.90847567,-0.60902789,-1.7730219,-1.0635787,-0.14635053,-0.64151253,-0.10539845,-0.90615556,-0.7718295,-0.033320215,-2.9224955,-0.53966879,-0.035785438
