lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.129701
# Elements of inverse mass matrix:
# 0.456554, -0.0061281, -0.0213953, -0.0235465
# -0.0061281, 0.0219622, -0.0349702, 0.00122615
# -0.0213953, -0.0349702, 1.65223, -0.0103664
# -0.0235465, 0.00122615, -0.0103664, 0.0682072
-52.51559,0.99996533,0.12970138,4,15,0,53.473524,0.41365558,1.3017329,0.32068468,-2.6738144,0.068988575,-0.72905109,0.070068913,-2.5661952,-0.33011687,-1.5449784,0.0055206769,-0.069187647,-0.56560933,-0.20323459,-0.4760471,-1.802936,-0.26990389,-0.46579452,-1.4626815,0.063129205,-0.75440163,-0.21390161,-0.58790138,-0.34632391,-0.23612495,-0.32438119,-2.1876506,-1.8604291,-0.51284077,-0.099713395,-3.0864891,-0.42174623,-1.3218089,-0.46871278,-2.959306,-1.0671316,-1.9310005,0.075558519,-0.35007068,-0.9497601,-0.36228011,-0.65440994,-1.2668769,-0.16851657,-0.067329002,-1.0688301,0.058547167,-0.62611327,-1.802707,-1.4017626,-0.081364408,-0.018308624,0.082319433,-1.5456445,-0.49669732
-52.116446,1,0.12970138,4,15,0,52.8762,0.44302867,1.3201033,0.33215521,-2.5948924,0.074653905,-0.68743389,0.048865973,-2.4789824,-0.30313821,-1.481506,0.0097845964,-0.051675508,-0.53022155,-0.1805818,-0.43860082,-1.7324974,-0.2434907,-0.42918164,-1.4017292,0.05940787,-0.70894673,-0.18990222,-0.54676054,-0.31211047,-0.21473428,-0.29079831,-2.1043917,-1.782358,-0.47734638,-0.081541024,-2.9803162,-0.38912202,-1.2685788,-0.43448169,-2.8445121,-1.0162861,-1.850764,0.058789511,-0.73080646,-0.90508834,-0.33433437,-0.61131599,-1.2103723,-0.14753622,-0.057081445,-1.0221246,0.024743408,-0.58711673,-1.734804,-1.3405097,-0.064754052,-0.011586711,0.062551259,-1.4845712,-0.4652189
-52.08451,0.99826723,0.12970138,5,31,0,52.829237,0.56143289,1.3028685,0.33501716,-3.0147424,0.049058469,-0.686809,0.077033039,-2.5152094,-0.28713304,-1.4966018,0.036376262,-0.036379664,-0.5180337,-0.16620484,-0.43368083,-1.7583001,-0.22754502,-0.42144143,-1.4224429,0.084281169,-0.71092589,-0.17395336,-0.54740263,-0.30749173,-0.1931582,-0.28613653,-2.1645964,-1.8032533,-0.47336799,-0.061093017,-3.0738916,-0.38181779,-1.2808102,-0.42610683,-2.8944518,-1.0259243,-1.8800307,0.085258526,-0.7491353,-0.90737775,-0.32169036,-0.61451407,-1.2169627,-0.1258573,-0.030450435,-1.0168931,0.060520192,-0.59075627,-1.743594,-1.3487555,-0.041777329,0.0089604804,0.086818301,-1.497298,-0.45225198
-52.511385,0.99132772,0.12970138,4,31,0,55.627192,0.58019377,1.3609046,0.33865098,-3.0594558,0.046913218,-0.65572423,-0.018436177,-2.3230887,-0.29296288,-1.3968245,-0.021585318,-0.072734396,-0.50157011,-0.18482529,-0.42346727,-1.6369879,-0.23861772,-0.41183685,-1.3298584,0.0095497467,-0.67685652,-0.19130295,-0.52698286,-0.30800378,-0.21031821,-0.28858781,-2.0165307,-1.6799571,-0.46067272,-0.093961005,-2.8583884,-0.37731606,-1.1993084,-0.41750817,-2.6944449,-0.96650654,-1.7519185,-0.0061808511,-1.2094606,-0.85813319,-0.32438045,-0.58851695,-1.1407679,-0.14969761,-0.073553973,-0.95746321,-0.048854799,-0.56806274,-1.6198859,-1.2614694,-0.07820806,-0.042549684,-0.0084771618,-1.3967185,-0.44292125
-52.647727,0.99846288,0.12970138,4,31,0,53.231949,0.59666563,1.3333869,0.31832191,-3.0461013,0.047543925,-0.72053351,0.026205429,-2.4665502,-0.33995462,-1.4933474,-0.02458706,-0.098011276,-0.55938913,-0.22406962,-0.47773008,-1.7436402,-0.28201955,-0.46516963,-1.423439,0.027781272,-0.74130683,-0.2309696,-0.58556149,-0.35664267,-0.25067069,-0.33623991,-2.134525,-1.7823108,-0.51697749,-0.12171921,-3.0064101,-0.42949772,-1.2905942,-0.47157494,-2.8246296,-1.044431,-1.8565483,0.033356497,-0.42280013,-0.93313239,-0.37362768,-0.64960823,-1.2260344,-0.18446998,-0.093079267,-1.0374152,0.016633155,-0.62937809,-1.7305406,-1.3515664,-0.10272396,-0.054261735,0.036274313,-1.4964903,-0.49852726
-54.157915,0.9926993,0.12970138,4,31,0,57.68379,0.27082826,1.3993361,0.33059134,-2.5273071,0.079873827,-0.66769155,-0.07234491,-2.2327989,-0.32634573,-1.3717088,-0.079083835,-0.1163219,-0.5287623,-0.2165178,-0.45555039,-1.5935218,-0.27681444,-0.44495428,-1.2985822,-0.052207466,-0.69404479,-0.22962452,-0.5495188,-0.34092669,-0.24913806,-0.32131025,-1.9416577,-1.6618519,-0.47934065,-0.14423909,-2.7305911,-0.40157313,-1.1681477,-0.44545882,-2.6549734,-0.95785935,-1.7261859,-0.063856015,-1.0462209,-0.85265359,-0.35072008,-0.60672066,-1.1355266,-0.19819677,-0.12482427,-0.95791805,-0.1082709,-0.57370076,-1.590111,-1.2567971,-0.1348624,-0.08271425,-0.058044631,-1.3707643,-0.46904566
-53.310969,0.9988628,0.12970138,5,31,0,55.265352,0.4490058,1.3834409,0.30815575,-2.5503851,0.078051603,-0.72887925,-0.048983083,-2.3594688,-0.38298699,-1.452864,-0.094504689,-0.14910364,-0.58885563,-0.26946833,-0.49962067,-1.6808543,-0.32684014,-0.4914481,-1.3794567,-0.041653448,-0.74506162,-0.27789395,-0.59656334,-0.38265611,-0.30484743,-0.3629854,-2.0188108,-1.7240703,-0.53717779,-0.17870736,-2.8235439,-0.45727024,-1.2617433,-0.49894549,-2.6967261,-1.0280468,-1.7861572,-0.039247674,-0.42369354,-0.93024951,-0.41099822,-0.65498713,-1.2060599,-0.24081219,-0.16052844,-1.0396535,-0.068868255,-0.63577551,-1.6858497,-1.3241766,-0.16369271,-0.11553339,-0.033920571,-1.4577617,-0.53158774
-55.009838,0.99303349,0.12970138,4,15,0,56.09303,0.2589601,1.4091461,0.34541321,-2.6526644,0.070463221,-0.62918182,-0.11687679,-2.1652272,-0.29335071,-1.3212979,-0.080010346,-0.10140132,-0.4903295,-0.19026236,-0.42170391,-1.5411878,-0.24666881,-0.4112575,-1.2515443,-0.073767886,-0.65704797,-0.20228155,-0.51529558,-0.31128974,-0.21911298,-0.29247456,-1.8934813,-1.6102506,-0.44458916,-0.12536157,-2.6761549,-0.36828185,-1.1194771,-0.41063813,-2.5963665,-0.91561304,-1.675827,-0.10444065,-1.9256013,-0.80930106,-0.31720283,-0.57202763,-1.0882652,-0.17286154,-0.1101144,-0.90888442,-0.16942842,-0.53889836,-1.5290914,-1.2073032,-0.1179626,-0.07744114,-0.10424277,-1.3174299,-0.4312834
-54.864153,0.9997311,0.12970138,5,31,0,56.17719,0.72850833,1.2250605,0.32878362,-2.999467,0.049813612,-0.75476203,0.17595609,-2.8750377,-0.30110664,-1.6696704,0.09458921,-0.0089968774,-0.55982513,-0.16394142,-0.46598113,-1.9686805,-0.23057962,-0.44723386,-1.5896858,0.1675238,-0.77291176,-0.16973433,-0.59164624,-0.32219498,-0.19321082,-0.29864442,-2.4287584,-1.9759584,-0.51429242,-0.035024443,-3.4376711,-0.40965296,-1.4485585,-0.45905313,-3.1087089,-1.1390886,-2.0631699,0.1820101,-0.23029696,-1.0150749,-0.34479599,-0.66768544,-1.3508511,-0.11040896,0.0034298362,-1.1372626,0.17648218,-0.64998706,-1.9785559,-1.4995658,-0.010381431,0.05018213,0.1872548,-1.6957012,-0.49322349
-53.246786,0.99302084,0.12970138,4,23,0,57.076268,0.62918361,1.3064387,0.31090127,-2.9626083,0.051683935,-0.75486461,0.051438833,-2.5902828,-0.35858711,-1.5609543,-0.017008042,-0.10080895,-0.58706705,-0.23639011,-0.50028339,-1.8220044,-0.29668643,-0.48616736,-1.4881444,0.046061971,-0.77295874,-0.24307312,-0.61147803,-0.37325042,-0.26507556,-0.35196963,-2.2227969,-1.8500452,-0.54281726,-0.12594688,-3.1232632,-0.45140886,-1.3564844,-0.49519361,-2.9098192,-1.0923713,-1.9264583,0.057862435,-0.20993577,-0.9803805,-0.39471537,-0.67797309,-1.2814721,-0.19326521,-0.095191822,-1.0904825,0.048226063,-0.66023332,-1.8175699,-1.4118514,-0.10511436,-0.052460579,0.062563664,-1.5712476,-0.52588927
